"Neuroticism","Extraversion","Openness","Agreeableness","Conscientiousness"
2.479166667,4.208333333,3.9375,3.958333333,3.458333333
2.604166667,3.1875,3.958333333,3.395833333,3.229166667
2.8125,2.895833333,3.416666667,2.75,3.5
2.895833333,3.5625,3.520833333,3.166666667,2.791666667
3.020833333,3.333333333,4.020833333,3.208333333,2.854166667
2.520833333,3.291666667,3.4375,3.708333333,2.5
2.354166667,4.416666667,4.583333333,3.0625,3.333333333
2.520833333,3.5,2.895833333,3.666666667,3.0625
3.104166667,3.8125,4.0625,3.770833333,2.833333333
2.6875,3.547083333,3.786666667,3.354166667,3.104166667
2.625,3.458333333,2.895833333,3.458333333,3.375
2.375,3.770833333,3.166666667,3.5,3.520833333
3.0625,3.416666667,3.770833333,3.8125,3.125
3.125,2.520833333,2.645833333,3.75,3.208333333
2.583333333,3.020833333,3.5,3.416666667,3.583333333
2.979166667,3.3125,3.354166667,3.645833333,3.479166667
2.791666667,3.791666667,3.375,3.958333333,2.729166667
2.5625,3.541666667,3.875,3.854166667,3.3125
2.4375,3.729166667,2.911875,3.625,2.770833333
3.0625,3.25,3.3125,3.48875,3.5
3.229166667,2.916666667,3.416666667,2.9375,2.770833333
2.416666667,3.4375,3.770833333,3.5,3.5625
2.854166667,3.645833333,3.333333333,3.104166667,3.5
2.875,4.083333333,3.3125,3,2.604166667
2.854166667,3.5625,4.041666667,3.75,3.229166667
2.875,3.583333333,3.916666667,3.875,3.416666667
3.125,3.625,3.770833333,3.895833333,3.125
2.75,3.833333333,3.8125,2.979166667,2.583333333
3.229166667,3.208333333,3.604166667,3.520833333,2.961666667
2.5625,3.833333333,3.416666667,3.395833333,3.583333333
2.9375,3.0625,3.791666667,3.375,2.854166667
2.75,3.645833333,3.6875,3.291666667,3.321041667
3.0625,3.145833333,4.125,3.4375,3.145833333
3.125,3.708333333,3.5,3.541666667,2.6875
1.916666667,4.104166667,3.645833333,3.854166667,2.708333333
2.75,3.541666667,3.541666667,3.041666667,3.208333333
3.104166667,3.479166667,4.041666667,3.708333333,3.0625
3.020833333,3.208333333,3.833333333,3.4375,2.75
2.166666667,3.458333333,3.5625,3.875,4
3.6875,3.5,3.875,3.416666667,2.895833333
2.208333333,3.666666667,3.729166667,3.520833333,3.25
2.104166667,3.770833333,3.229166667,3.791666667,3.645833333
2.583333333,3.6875,3.458333333,3.479166667,3.25
2.8125,3.375,3.25,3.875,3.041666667
2.333333333,4.1875,3.916666667,4.125,3.125
3.041666667,3.25,3.166666667,3.4375,3.125
3.708333333,3.729166667,3.958333333,3.0625,2.6875
3,3.354166667,3.125,3.291666667,3.229166667
2.916666667,3.5625,3.625,3.4375,3
2.770833333,3.333333333,3.270833333,3.5625,3.604166667
2.9375,4.229166667,3.77,3.6875,2.625
2.6875,3.416666667,3.1875,3.0625,3.479166667
3.4375,3.020833333,3.5625,3.416666667,2.791666667
3.020833333,3.645833333,3.229166667,2.875,3.479166667
2.854166667,3.291666667,3.75,3.291666667,3.270833333
3.395833333,3,3.416666667,3.416666667,2.458333333
2.791666667,3.833333333,3.791666667,3.375,2.854166667
3.395833333,3.354166667,3.104166667,3.354166667,3.395833333
2.583333333,3.354166667,3.916666667,3.75,3
3.875,2.645833333,3.625,2.520833333,3.291666667
3,3.666666667,3.479166667,3.354166667,3.020833333
2.607083333,3.541666667,3.729166667,3.314375,3.479166667
2.877916667,2.979166667,3.25,2.981041667,3.25
3.291666667,3.5,3.610416667,2.8125,3.166666667
2.791666667,3.395833333,3.166666667,3.083333333,2.604166667
2.800416667,3.625,3.270833333,3.354166667,2.729166667
2.770833333,3.416666667,3.583333333,3.416666667,3.583333333
3.104166667,3.375,3.208333333,3.875,3.0625
3.194791667,3.458333333,3.791666667,3.645833333,2.520833333
2.916666667,3.4375,3.604166667,3.354166667,3.05625
3.020833333,3.604166667,3.208333333,2.770833333,3.354166667
2.520833333,3.479166667,3.541666667,3.4375,2.625
3.0625,3.729166667,3.895833333,3.041666667,2.541666667
2.979166667,3.541666667,3.875,3.270833333,3.291666667
3.104166667,2.75,3.5625,3.041666667,2.6875
3.604166667,3.5,3.458333333,3.479166667,3.583333333
2.6875,3.479166667,3.979166667,3.333333333,3.875
1.645833333,3.958333333,3.895833333,4.020833333,4.416666667
2.520833333,3.6875,3.895833333,3.416666667,3.729166667
3.5,3.479166667,3.520833333,3.083333333,3.354166667
3.583333333,2.583333333,3.083333333,3.458333333,3
