species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Adelie,Torgersen,39.1,18.7,181,"3,750",male,2007
Adelie,Torgersen,39.5,17.4,186,"3,800",female,2007
Adelie,Torgersen,40.3,18,195,"3,250",female,2007
Adelie,Torgersen,36.7,19.3,193,"3,450",female,2007
Adelie,Torgersen,39.3,20.6,190,"3,650",male,2007
Adelie,Torgersen,38.9,17.8,181,"3,625",female,2007
Adelie,Torgersen,39.2,19.6,195,"4,675",male,2007
Adelie,Torgersen,41.1,17.6,182,"3,200",female,2007
Adelie,Torgersen,38.6,21.2,191,"3,800",male,2007
Adelie,Torgersen,34.6,21.1,198,"4,400",male,2007
Adelie,Torgersen,36.6,17.8,185,"3,700",female,2007
Adelie,Torgersen,38.7,19,195,"3,450",female,2007
Adelie,Torgersen,42.5,20.7,197,"4,500",male,2007
Adelie,Torgersen,34.4,18.4,184,"3,325",female,2007
Adelie,Torgersen,46,21.5,194,"4,200",male,2007
Adelie,Biscoe,37.8,18.3,174,"3,400",female,2007
Adelie,Biscoe,37.7,18.7,180,"3,600",male,2007
Adelie,Biscoe,35.9,19.2,189,"3,800",female,2007
Adelie,Biscoe,38.2,18.1,185,"3,950",male,2007
Adelie,Biscoe,38.8,17.2,180,"3,800",male,2007
Adelie,Biscoe,35.3,18.9,187,"3,800",female,2007
Adelie,Biscoe,40.6,18.6,183,"3,550",male,2007
Adelie,Biscoe,40.5,17.9,187,"3,200",female,2007
Adelie,Biscoe,37.9,18.6,172,"3,150",female,2007
Adelie,Biscoe,40.5,18.9,180,"3,950",male,2007
Adelie,Dream,39.5,16.7,178,"3,250",female,2007
Adelie,Dream,37.2,18.1,178,"3,900",male,2007
Adelie,Dream,39.5,17.8,188,"3,300",female,2007
Adelie,Dream,40.9,18.9,184,"3,900",male,2007
Adelie,Dream,36.4,17,195,"3,325",female,2007
Adelie,Dream,39.2,21.1,196,"4,150",male,2007
Adelie,Dream,38.8,20,190,"3,950",male,2007
Adelie,Dream,42.2,18.5,180,"3,550",female,2007
Adelie,Dream,37.6,19.3,181,"3,300",female,2007
Adelie,Dream,39.8,19.1,184,"4,650",male,2007
Adelie,Dream,36.5,18,182,"3,150",female,2007
Adelie,Dream,40.8,18.4,195,"3,900",male,2007
Adelie,Dream,36,18.5,186,"3,100",female,2007
Adelie,Dream,44.1,19.7,196,"4,400",male,2007
Adelie,Dream,37,16.9,185,"3,000",female,2007
Adelie,Dream,39.6,18.8,190,"4,600",male,2007
Adelie,Dream,41.1,19,182,"3,425",male,2007
Adelie,Dream,36,17.9,190,"3,450",female,2007
Adelie,Dream,42.3,21.2,191,"4,150",male,2007
Adelie,Biscoe,39.6,17.7,186,"3,500",female,2008
Adelie,Biscoe,40.1,18.9,188,"4,300",male,2008
Adelie,Biscoe,35,17.9,190,"3,450",female,2008
Adelie,Biscoe,42,19.5,200,"4,050",male,2008
Adelie,Biscoe,34.5,18.1,187,"2,900",female,2008
Adelie,Biscoe,41.4,18.6,191,"3,700",male,2008
Adelie,Biscoe,39,17.5,186,"3,550",female,2008
Adelie,Biscoe,40.6,18.8,193,"3,800",male,2008
Adelie,Biscoe,36.5,16.6,181,"2,850",female,2008
Adelie,Biscoe,37.6,19.1,194,"3,750",male,2008
Adelie,Biscoe,35.7,16.9,185,"3,150",female,2008
Adelie,Biscoe,41.3,21.1,195,"4,400",male,2008
Adelie,Biscoe,37.6,17,185,"3,600",female,2008
Adelie,Biscoe,41.1,18.2,192,"4,050",male,2008
Adelie,Biscoe,36.4,17.1,184,"2,850",female,2008
Adelie,Biscoe,41.6,18,192,"3,950",male,2008
Adelie,Biscoe,35.5,16.2,195,"3,350",female,2008
Adelie,Biscoe,41.1,19.1,188,"4,100",male,2008
Adelie,Torgersen,35.9,16.6,190,"3,050",female,2008
Adelie,Torgersen,41.8,19.4,198,"4,450",male,2008
Adelie,Torgersen,33.5,19,190,"3,600",female,2008
Adelie,Torgersen,39.7,18.4,190,"3,900",male,2008
Adelie,Torgersen,39.6,17.2,196,"3,550",female,2008
Adelie,Torgersen,45.8,18.9,197,"4,150",male,2008
Adelie,Torgersen,35.5,17.5,190,"3,700",female,2008
Adelie,Torgersen,42.8,18.5,195,"4,250",male,2008
Adelie,Torgersen,40.9,16.8,191,"3,700",female,2008
Adelie,Torgersen,37.2,19.4,184,"3,900",male,2008
Adelie,Torgersen,36.2,16.1,187,"3,550",female,2008
Adelie,Torgersen,42.1,19.1,195,"4,000",male,2008
Adelie,Torgersen,34.6,17.2,189,"3,200",female,2008
Adelie,Torgersen,42.9,17.6,196,"4,700",male,2008
Adelie,Torgersen,36.7,18.8,187,"3,800",female,2008
Adelie,Torgersen,35.1,19.4,193,"4,200",male,2008
Adelie,Dream,37.3,17.8,191,"3,350",female,2008
Adelie,Dream,41.3,20.3,194,"3,550",male,2008
