"Age","AvgG","Chdn","ExEd","CR","Sex","SecE","AvgE","FinalE"
40,9.7291,1,0,"0","0","0",3.995,"Pass"
26,4.1614,0,1,"0","0","0",1.354,"Fail"
33,5.9848,2,0,"0","0","0",1.853,"Fail"
43,6.5889,3,1,"0","0","0",2.251,"Pass"
28,7.1372,0,1,"0","0","0",2.494,"Pass"
22,6.8328,0,1,"0","1","0",2.305,"Pass"
21,5.7995,0,0,"0","0","0",1.791,"Fail"
36,8.8951,3,3,"0","1","0",2.911,"Pass"
23,7.0205,0,0,"0","0","0",2.333,"Pass"
24,7.6484,0,0,"0","0","0",2.783,"Pass"
23,8.9347,0,2,"0","1","0",4.426,"Pass"
26,8.7573,1,0,"0","0","0",3.811,"Pass"
21,5.8372,0,1,"0","1","0",1.807,"Fail"
25,6.1926,0,1,"0","0","0",1.895,"Fail"
24,8.0965,0,0,"1","0","0",2.761,"Pass"
33,5.9121,1,0,"1","0","0",1.773,"Fail"
25,8.6375,0,1,"0","1","0",2.961,"Pass"
22,6.9502,0,2,"0","0","0",2.461,"Pass"
24,7.9337,0,0,"0","0","0",3.257,"Pass"
32,7.4089,1,1,"0","0","0",2.602,"Pass"
24,7.2918,0,1,"0","1","1",2.606,"Pass"
27,7.4534,0,0,"0","0","0",2.738,"Pass"
23,8.5105,0,0,"0","1","0",2.831,"Pass"
24,8.1502,0,0,"0","1","0",1.327,"Fail"
27,6.6597,0,0,"0","0","0",2.296,"Pass"
28,7.8921,0,2,"0","0","0",2.984,"Pass"
22,8.9374,0,1,"0","1","0",2.833,"Pass"
29,8.3015,1,0,"0","1","0",3.049,"Pass"
21,8.2722,0,1,"0","0","0",3.531,"Pass"
29,7.2804,1,4,"0","0","0",2.616,"Pass"
22,7.1152,0,2,"0","0","1",2.566,"Pass"
20,8.5974,0,1,"0","0","0",3.921,"Pass"
21,7.5325,0,0,"0","0","0",2.698,"Pass"
21,8.7175,0,1,"0","1","0",2.969,"Pass"
26,9.4212,1,3,"0","1","0",2.903,"Pass"
26,6.7302,0,0,"0","0","0",2.258,"Pass"
26,9.4236,0,2,"0","0","0",4.518,"Pass"
21,5.1933,0,0,"0","0","1",1.625,"Fail"
22,8.2517,0,0,"0","0","0",3.532,"Pass"
21,8.0255,0,0,"1","0","0",2.855,"Pass"
23,6.6616,0,0,"0","0","0",2.331,"Pass"
26,6.1486,0,0,"0","0","0",2.033,"Pass"
22,7.7641,0,1,"0","0","0",2.947,"Pass"
23,6.2023,0,0,"0","0","0",2.032,"Pass"
21,6.9025,0,0,"0","0","0",2.318,"Pass"
36,6.5045,1,1,"0","0","0",2.131,"Pass"
29,5.9597,1,0,"0","0","0",1.854,"Fail"
21,6.5802,0,0,"0","0","0",2.288,"Pass"
29,8.3758,1,0,"0","0","0",3.715,"Pass"
26,6.971,0,1,"1","0","0",2.335,"Pass"
32,6.8582,2,2,"0","1","1",2.253,"Pass"
21,8.1165,0,2,"0","0","0",3.12,"Pass"
20,7.98,0,0,"0","0","0",2.995,"Pass"
28,8.5235,0,1,"0","0","0",3.88,"Pass"
21,8.4829,0,1,"0","0","0",3.698,"Pass"
25,8.7839,0,2,"1","0","0",2.949,"Pass"
24,6.1696,0,0,"1","0","0",2.007,"Pass"
30,7.0214,1,2,"0","0","0",2.396,"Pass"
22,7.3156,0,0,"0","0","0",2.66,"Pass"
31,6.4144,0,2,"0","0","0",2.155,"Pass"
24,6.7174,0,2,"0","0","0",2.394,"Pass"
27,6.1207,1,1,"0","0","0",1.922,"Fail"
25,6.8429,1,1,"0","1","0",2.29,"Pass"
35,5.777,1,0,"0","0","1",1.82,"Fail"
23,8.354,0,2,"0","1","0",2.998,"Pass"
38,8.3626,2,0,"1","0","0",3.009,"Pass"
23,7.6057,0,0,"0","0","0",2.965,"Pass"
27,7.7376,1,1,"1","1","0",2.587,"Pass"
26,8.1404,1,2,"0","1","0",2.746,"Pass"
22,8.4441,0,2,"0","1","0",2.898,"Pass"
29,9.6748,1,1,"0","0","0",4.116,"Pass"
28,7.813,0,1,"0","0","0",2.967,"Pass"
19,4.4254,0,0,"0","0","0",1.408,"Fail"
26,6.5237,0,2,"0","0","0",2.153,"Pass"
21,6.8886,0,0,"0","0","0",2.253,"Pass"
19,6.8946,0,0,"0","0","0",2.474,"Pass"
23,6.9635,0,0,"0","0","0",2.354,"Pass"
20,8.126,0,1,"0","1","0",2.977,"Pass"
19,4.9413,0,0,"0","0","0",1.529,"Fail"
25,5.8234,0,1,"0","1","0",1.882,"Fail"
22,7.3185,0,1,"0","0","0",2.618,"Pass"
27,8.929,0,1,"0","0","0",3.206,"Pass"
26,6.9888,1,1,"0","1","0",2.384,"Pass"
35,6.0693,3,1,"0","0","0",1.908,"Fail"
26,6.3333,1,0,"0","1","0",2.012,"Pass"
28,8.2273,1,2,"0","1","0",2.947,"Pass"
32,6.7992,1,0,"0","0","0",2.342,"Pass"
25,6.4793,0,0,"0","1","0",2.212,"Pass"
20,5.0298,0,0,"0","0","0",1.441,"Fail"
20,5.9754,0,1,"0","0","0",1.784,"Fail"
24,8.3921,0,1,"0","1","0",2.751,"Pass"
38,6.7259,2,2,"0","0","0",2.191,"Pass"
38,5.8477,3,1,"0","0","0",1.847,"Fail"
33,8.5137,1,0,"0","0","0",3.612,"Pass"
29,4.595,1,0,"0","0","1",1.486,"Fail"
27,8.944,1,0,"0","1","0",3.001,"Pass"
21,6.6007,0,0,"0","0","1",2.118,"Pass"
22,7.2616,0,1,"0","0","0",2.539,"Pass"
34,7.831,2,2,"0","0","0",2.709,"Pass"
27,7.2856,0,2,"0","0","0",2.74,"Pass"
20,7.6947,0,0,"0","0","0",2.779,"Pass"
27,8.0742,0,0,"0","0","1",3.322,"Pass"
29,6.5835,1,0,"0","0","0",2.246,"Pass"
25,7.8894,0,1,"0","0","1",2.957,"Pass"
24,7.6093,0,1,"0","1","0",2.543,"Pass"
27,8.8228,1,1,"0","0","1",3.815,"Pass"
21,7.0565,0,1,"0","0","0",2.434,"Pass"
24,5.5078,0,0,"0","0","0",1.669,"Fail"
32,9.7167,2,4,"0","0","1",2.956,"Pass"
31,6.6496,1,1,"0","0","0",2.312,"Pass"
21,5.5399,0,0,"0","0","0",1.59,"Fail"
22,8.9034,0,1,"0","0","0",4.195,"Pass"
26,6.8139,1,1,"0","1","0",2.407,"Pass"
23,7.176,0,1,"0","1","1",2.537,"Pass"
30,7.5633,2,2,"0","0","0",2.787,"Pass"
20,6.2586,0,0,"0","0","0",1.962,"Fail"
29,6.1384,1,0,"0","0","0",2.048,"Pass"
26,6.7527,0,0,"1","0","0",2.204,"Pass"
21,7.3996,0,1,"0","0","0",2.836,"Pass"
27,6.2848,0,0,"0","0","0",1.941,"Fail"
23,4.9553,0,1,"0","0","0",1.553,"Fail"
23,7.164,0,0,"0","0","0",2.423,"Pass"
22,7.4266,0,2,"0","0","0",2.687,"Pass"
32,5.093,2,0,"0","0","0",1.466,"Fail"
24,6.7135,0,3,"0","1","0",2.24,"Pass"
24,6.8496,1,1,"0","0","0",2.294,"Pass"
24,8.2342,0,2,"0","0","0",3.257,"Pass"
21,6.9439,0,0,"0","0","0",2.333,"Pass"
30,6.9799,1,2,"0","0","1",2.4,"Pass"
36,6.8769,3,2,"0","0","0",2.374,"Pass"
22,9.0707,0,2,"0","1","0",2.851,"Pass"
33,8.052,3,2,"0","0","0",3.076,"Pass"
41,6.7686,1,2,"0","0","1",2.336,"Pass"
20,7.768,0,0,"1","0","0",2.617,"Pass"
24,6.5463,0,1,"0","0","0",2.163,"Pass"
32,8.2762,2,2,"0","0","0",3.125,"Pass"
23,6.0343,0,2,"0","0","0",1.999,"Fail"
20,7.3495,0,0,"0","1","0",2.654,"Pass"
22,7.9313,0,0,"0","0","0",3.126,"Pass"
29,6.7741,0,2,"0","0","0",2.343,"Pass"
31,7.5253,2,2,"0","0","0",2.597,"Pass"
24,6.1397,0,1,"0","0","0",1.974,"Fail"
24,6.8552,0,1,"0","0","0",2.316,"Pass"
32,6.7373,3,0,"0","0","0",2.368,"Pass"
42,9.307,2,3,"0","0","0",2.988,"Pass"
20,6.7954,0,0,"0","1","1",2.301,"Pass"
25,8.9101,1,1,"0","0","0",4.004,"Pass"
21,6.8109,0,1,"0","0","0",2.286,"Pass"
35,8.4738,1,1,"0","1","1",3.046,"Pass"
30,6.1629,1,0,"0","0","0",1.906,"Fail"
