r,n,study
0.21,115,"Ahn, Kim, & Park (2008)"
0.29,283,Basanez et al. (2013)
0.22,80,Bounkeua (2007)
0.26,109,Hajizadeh (2009)
0.23,61,Hamid (2007)
0.54,107,Hwang & Wood (2009a)
0.56,79,Hwang & Wood (2009b)
0.29,121,"Hwang, Wood, & Fujimoto (2010)"
0.26,166,"Juang, Syed, & Takaki (2007)"
0.02,208,Kim (2001)
-0.06,265,Lau et al. (2005)
0.38,51,Leong (2004)
0.25,60,Luna (2012)
0.08,73,Martinez (2006)
0.17,350,Nguyen (2010)
0.33,93,Tsai-Chae & Nagata (2008)
0.36,188,Ying & Han (2007a)
0.13,490,Ying & Han (2007b)
