"","site","station","site_station","s1","vars1","s2","vars2","s3","vars3","const"
"1","site1","sta1","site1_sta1",168,3502.7424,9,2301,-109,2301,1
"2","site1","sta2","site1_sta2",123,2301,-9,2301,-71,1603.4889,1
"3","site2","sta1","site2_sta1",302,5846,-213,13738.9074,-1,5846,1
"4","site2","sta2","site2_sta2",220,12815.933,-306,8523.612,162,10331.2344,1
"5","site2","sta3","site2_sta3",350,3154.7614,-220,15295.4021,56,5846,1
"6","site2","sta4","site2_sta4",337,1890.6559,-336,11428.804,180,7707.7479,1
"7","site2","sta5","site2_sta5",233,8644.3041,-389,10296.2071,231,2577.2668,1
"8","site2","sta6","site2_sta6",283,5846,-460,9629.2758,148,5846,1
"9","site2","sta7","site2_sta7",353,10344.5677,-320,12964.8288,300,5846,1
"10","site3","sta1","site3_sta1",177,2562,-140,2562,-97,2562,1
"11","site3","sta2","site3_sta2",229,4301.727,-111,2562,29,2562,1
"12","site4","sta1","site4_sta1",248,4606.0582,-126,955.6867,117,3338.5788,1
"13","site4","sta2","site4_sta2",197,5436.9501,-34,2301,-16,2301,1
"14","site5","sta1","site5_sta1",93,950,-14,1160.7161,21,950,1
"15","site5","sta2","site5_sta2",34,468.8432,3,697,-21,446.6578,1
"16","site5","sta3","site5_sta3",61,594.4956,-16,950,47,950,1
"17","site5","sta4","site5_sta4",61,950,96,950,44,950,1
"18","site6","sta1","site6_sta1",271,4165.3333,-187,6756.4437,-167,4165.3333,1
"19","site6","sta2","site6_sta2",319,4165.3333,-182,2885.4519,-98,3567.5292,1
"20","site7","sta1","site7_sta1",14,817,-41,817,-115,817,1
"21","site7","sta2","site7_sta2",61,1499.0587,-59,817,-75,817,1
"22","site8","sta1","site8_sta1",305,9035.2651,-123,2842,-68,2842,1
"23","site8","sta2","site8_sta2",315,5096.2897,58,2842,41,2842,1
"24","site8","sta3","site8_sta3",195,2842,-31,2842,117,2842,1
"25","site9","sta1","site9_sta1",308,11395.6877,243,5497.171,-3,1568.0952,1
"26","site9","sta2","site9_sta2",345,5395.0077,316,3461.6667,-139,3461.6667,1
"27","site9","sta3","site9_sta3",294,3461.6667,-89,3461.6667,-193,3461.6667,1
"28","site9","sta4","site9_sta4",318,5212.034,-78,3461.6667,-123,8405.0704,1
"29","site10","sta1","site10_sta1",114,739.1046,-37,950,0,950,1
"30","site10","sta2","site10_sta2",92,2640.7189,-62,1096.6667,-46,1096.6667,1
"31","site11","sta1","site11_sta1",50,2021.0911,-24,1096.6667,79,1096.6667,1
"32","site11","sta2","site11_sta2",309,4550.3333,-112,4550.3333,-12,4550.3333,1
"33","site11","sta3","site11_sta3",225,3107.6097,-75,4550.3333,-6,4550.3333,1
"34","site11","sta4","site11_sta4",37,1096.6667,-44,1096.6667,11,1096.6667,1
"35","site11","sta5","site11_sta5",44,1661.369,-5,950,46,950,1
