A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,E1,E2,E3,E4,E5,N1,N2,N3,N4,N5,O1,O2,O3,O4,O5,gender,education,age,group
2,4,3,4,4,2,3,3,4,4,3,3,3,4,4,3,4,2,2,3,3,6,3,4,3,1,NA,16,A1 = Agreeableness
2,4,5,2,5,5,4,4,3,4,1,1,6,4,3,3,3,3,5,5,4,2,4,3,3,2,NA,18,A2 = Agreeableness
5,4,5,4,4,4,5,4,2,5,2,4,4,4,5,4,5,4,2,3,4,2,5,5,2,2,NA,17,A3 = Agreeableness
4,4,6,5,5,4,4,3,5,5,5,3,4,4,4,2,5,2,4,1,3,3,4,3,5,2,NA,17,A4 = Agreeableness
2,3,3,4,5,4,4,5,3,2,2,2,5,4,5,2,3,4,4,3,3,3,4,3,3,1,NA,17,A5 = Agreeableness
6,6,5,6,5,6,6,6,1,3,2,1,6,5,6,3,5,2,2,3,4,3,5,6,1,2,3,21,C1 = Conscientiousness
2,5,5,3,5,5,4,4,2,3,4,3,4,5,5,1,2,2,1,1,5,2,5,6,1,1,NA,18,C2 = Conscientiousness
4,3,1,5,1,3,2,4,2,4,3,6,4,2,1,6,3,2,6,4,3,2,4,5,3,1,2,19,C3 = Conscientiousness
4,3,6,3,3,6,6,3,4,5,5,3,NA,4,3,5,5,2,3,3,6,6,6,6,1,1,1,19,C4 = Conscientiousness
2,5,6,6,5,6,5,6,2,1,2,2,4,5,5,5,5,5,2,4,5,1,5,5,2,2,NA,17,C5 = Conscientiousness
4,4,5,6,5,4,3,5,3,2,1,3,2,5,4,3,3,4,2,3,5,3,5,6,3,1,1,21,E1 = Extraversion
2,5,5,5,5,5,4,5,4,5,3,3,4,5,4,4,5,3,2,NA,4,6,4,5,4,1,NA,16,E2 = Extraversion
5,5,5,6,4,5,4,3,2,2,3,3,3,2,4,1,2,2,2,2,4,2,4,5,2,2,NA,16,E3 = Extraversion
5,5,5,6,6,4,4,4,2,1,2,2,4,6,5,1,1,1,2,1,5,3,4,4,4,1,NA,16,E4 = Extraversion
