date,visits,actions,release
2020-01-06,214,412,0
2020-01-07,1181,3340,0
2020-01-08,1300,3922,0
2020-01-09,1345,3883,0
2020-01-10,1137,3286,0
2020-01-11,721,2038,0
2020-01-12,818,2309,0
2020-01-13,1552,4336,0
2020-01-14,1674,5001,0
2020-01-15,1616,4600,0
2020-01-16,1203,5237,0
2020-01-17,960,3839,0
2020-01-18,583,1957,0
2020-01-19,655,2250,0
2020-01-20,1149,4553,0
2020-01-21,1090,4646,0
2020-01-22,1105,4517,0
2020-01-23,1072,4578,0
2020-01-24,956,3689,0
2020-01-25,599,2055,0
2020-01-26,679,2393,0
2020-01-27,1158,5526,0
2020-01-28,1171,5549,0
2020-01-29,1575,5749,0
2020-01-30,1719,5057,0
2020-01-31,1509,4464,0
2020-02-01,807,2293,0
2020-02-02,941,2935,0
2020-02-03,1696,4995,0
2020-02-04,1797,5554,0
2020-02-05,1880,5672,0
2020-02-06,1611,4757,0
2020-02-07,1376,4007,0
2020-02-08,869,2462,0
2020-02-09,988,2998,0
2020-02-10,1788,5358,0
2020-02-11,2285,6419,0
2020-02-12,2288,6469,0
2020-02-13,1921,5733,0
2020-02-14,1423,3998,0
2020-02-15,830,2414,0
2020-02-16,909,2464,0
2020-02-17,1781,5134,0
2020-02-18,1691,4848,0
2020-02-19,1710,5395,0
2020-02-20,1732,5096,0
2020-02-21,1554,4395,0
2020-02-22,807,2271,0
2020-02-23,925,2551,0
2020-02-24,1468,4194,0
2020-02-25,1670,4671,0
2020-02-26,1639,4595,0
2020-02-27,1625,4251,0
2020-02-28,1298,3669,0
2020-02-29,773,2213,0
2020-03-01,894,2647,0
2020-03-02,1594,4480,0
2020-03-03,1954,5425,0
2020-03-04,1755,5447,0
2020-03-05,1865,5368,0
2020-03-06,1623,4531,0
2020-03-07,1011,2776,0
2020-03-08,991,2792,0
2020-03-09,1631,4645,0
2020-03-10,2074,5981,0
2020-03-11,2058,5697,0
2020-03-12,1836,5040,0
2020-03-13,1835,4650,0
2020-03-14,1061,2708,0
2020-03-15,1127,3209,0
2020-03-16,1839,5159,0
2020-03-17,2267,6853,0
2020-03-18,2304,6485,0
2020-03-19,2344,6573,0
2020-03-20,1852,5121,0
2020-03-21,1273,3559,0
2020-03-22,1382,3595,0
2020-03-23,2701,7663,0
2020-03-24,2784,7931,0
2020-03-25,2696,7681,0
2020-03-26,2783,8356,0
2020-03-27,2162,6231,0
2020-03-28,1449,4219,0
2020-03-29,1528,4256,0
2020-03-30,3038,8749,0
2020-03-31,2838,8172,0
2020-04-01,2917,8497,0
2020-04-02,2846,8115,0
2020-04-03,2455,7392,0
2020-04-04,1505,4283,0
2020-04-05,1515,4388,0
2020-04-06,2448,7369,0
2020-04-07,2646,7125,0
2020-04-08,3109,8847,0
2020-04-09,2195,6412,0
2020-04-10,2455,6920,1
2020-04-11,1678,4732,0
2020-04-12,1479,4275,0
2020-04-13,2333,7015,0
2020-04-14,2981,8644,0
2020-04-15,2569,7390,0
2020-04-16,3064,8816,0
2020-04-17,2627,7781,0
2020-04-18,1669,4742,0
2020-04-19,1744,4844,0
2020-04-20,2751,7572,0
2020-04-21,3045,8281,0
2020-04-22,3154,8776,0
2020-04-23,2884,8043,0
2020-04-24,2780,7871,0
2020-04-25,1657,4711,0
2020-04-26,1736,4854,0
2020-04-27,2401,6853,0
2020-04-28,2496,6934,0
2020-04-29,2533,6944,0
2020-04-30,2334,6457,0
2020-05-01,1988,5745,0
2020-05-02,1581,4230,0
2020-05-03,1566,4280,0
2020-05-04,2487,7053,0
2020-05-05,2780,8030,0
2020-05-06,2483,7220,0
2020-05-07,2435,6971,0
2020-05-08,2194,6139,0
2020-05-09,1525,4156,0
2020-05-10,1570,4102,0
2020-05-11,2282,5948,0
2020-05-12,2289,6157,0
2020-05-13,2524,6772,0
2020-05-14,2336,6227,0
2020-05-15,1998,5233,0
2020-05-16,1227,3258,0
2020-05-17,1294,3686,0
2020-05-18,1996,5445,0
2020-05-19,2130,5770,0
2020-05-20,2070,5615,0
2020-05-21,1748,4783,0
2020-05-22,1662,4551,0
2020-05-23,1197,3334,0
2020-05-24,1143,3267,0
2020-05-25,1862,5115,0
2020-05-26,2108,5581,0
2020-05-27,2002,5409,0
2020-05-28,1915,5305,0
2020-05-29,1798,4821,0
2020-05-30,1165,3199,0
2020-05-31,1031,2883,0
2020-06-01,1665,4684,0
2020-06-02,1737,4419,0
2020-06-03,1749,4835,0
2020-06-04,1820,4963,0
2020-06-05,1596,4246,0
2020-06-06,1192,3382,0
2020-06-07,1049,2819,0
2020-06-08,1666,4448,0
2020-06-09,1988,5064,0
2020-06-10,1861,4846,0
2020-06-11,1871,5431,0
2020-06-12,1715,5105,0
2020-06-13,1187,3538,0
2020-06-14,1216,3359,0
2020-06-15,1932,5175,0
2020-06-16,1954,5136,0
2020-06-17,1828,4853,0
2020-06-18,1799,5015,0
2020-06-19,1521,4000,0
2020-06-20,1075,2773,0
2020-06-21,941,2853,0
2020-06-22,1575,4239,0
2020-06-23,1560,4514,0
2020-06-24,1489,4198,0
2020-06-25,1523,4005,0
2020-06-26,1433,4054,0
2020-06-27,1061,3012,0
2020-06-28,984,2715,0
2020-06-29,1426,3907,0
2020-06-30,1517,4327,0
2020-07-01,1603,4334,0
2020-07-02,1962,5376,1
2020-07-03,1821,5183,0
2020-07-04,1226,3327,0
2020-07-05,1088,3031,0
2020-07-06,1792,5171,0
2020-07-07,1864,5351,0
2020-07-08,1842,5314,0
2020-07-09,1717,4911,0
2020-07-10,1653,4718,0
2020-07-11,1197,3346,0
2020-07-12,994,2905,0
2020-07-13,1771,5419,0
2020-07-14,1855,5025,0
2020-07-15,1766,4764,0
2020-07-16,1502,3899,0
2020-07-17,1375,3974,0
2020-07-18,917,2828,0
2020-07-19,847,2619,0
2020-07-20,1441,4377,0
2020-07-21,1499,4502,1
2020-07-22,1504,4338,0
2020-07-23,1422,3870,0
2020-07-24,1367,3931,0
2020-07-25,930,2663,0
2020-07-26,864,2389,0
2020-07-27,1436,3972,0
2020-07-28,1851,4837,0
2020-07-29,1551,3972,0
2020-07-30,1294,3559,0
2020-07-31,1178,3251,0
2020-08-01,801,2236,0
2020-08-02,890,2412,0
2020-08-03,1471,4418,0
2020-08-04,1601,4476,0
2020-08-05,1496,4201,0
2020-08-06,1347,4019,0
2020-08-07,1227,3168,0
2020-08-08,814,2425,0
2020-08-09,865,2548,0
2020-08-10,1451,4244,0
2020-08-11,1652,4784,0
2020-08-12,1680,4655,0
2020-08-13,1888,5155,0
2020-08-14,1628,4401,0
2020-08-15,978,2779,0
2020-08-16,1029,2749,0
2020-08-17,2111,5779,0
2020-08-18,2443,6935,0
2020-08-19,2162,6242,0
2020-08-20,2114,5811,0
2020-08-21,1795,4980,0
2020-08-22,1151,3280,0
2020-08-23,1269,3469,0
2020-08-24,2771,7947,0
2020-08-25,2914,8411,0
2020-08-26,2620,7551,0
2020-08-27,2857,8606,0
2020-08-28,2407,7355,0
2020-08-29,1590,4686,0
2020-08-30,1603,4975,0
2020-08-31,3219,9782,0
2020-09-01,3266,9541,0
2020-09-02,3003,8910,0
2020-09-03,2709,7970,0
2020-09-04,2224,6533,0
2020-09-05,1305,3811,0
2020-09-06,1342,3687,0
2020-09-07,2304,6831,0
2020-09-08,2779,8284,0
2020-09-09,3262,10003,0
2020-09-10,2905,9161,0
2020-09-11,2642,7790,0
2020-09-12,1466,4304,0
2020-09-13,1649,4648,0
2020-09-14,3393,9961,0
2020-09-15,3758,10931,0
2020-09-16,3396,9748,0
2020-09-17,3448,9810,0
2020-09-18,2627,7854,0
2020-09-19,1630,4661,0
2020-09-20,1565,4801,0
2020-09-21,3384,9854,0
2020-09-22,3238,9378,0
2020-09-23,3224,9460,0
2020-09-24,2890,8447,0
2020-09-25,2569,7213,0
2020-09-26,1611,4617,0
2020-09-27,1930,5701,0
2020-09-28,3291,9557,0
2020-09-29,3720,10821,0
2020-09-30,3356,9932,0
2020-10-01,3345,9594,0
2020-10-02,2745,7946,0
2020-10-03,1683,4985,0
