Part,Standard,Appraiser,Measurements
1,Yes,A,Yes
2,No,A,No
3,Yes,A,Yes
4,Yes,A,Yes
5,Yes,A,Yes
6,No,A,Yes
7,Yes,A,Yes
8,No,A,No
9,No,A,No
10,Yes,A,Yes
11,No,A,No
12,Yes,A,Yes
13,Yes,A,Yes
14,Yes,A,No
15,Yes,A,Yes
1,Yes,B,Yes
2,No,B,No
3,Yes,B,Yes
4,Yes,B,Yes
5,Yes,B,Yes
6,No,B,Yes
7,Yes,B,No
8,No,B,No
9,No,B,No
10,Yes,B,Yes
11,No,B,No
12,Yes,B,Yes
13,Yes,B,Yes
14,Yes,B,No
15,Yes,B,Yes
1,Yes,C,Yes
2,No,C,Yes
3,Yes,C,Yes
4,Yes,C,Yes
5,Yes,C,Yes
6,No,C,Yes
7,Yes,C,Yes
8,No,C,No
9,No,C,Yes
10,Yes,C,Yes
11,No,C,Yes
12,Yes,C,Yes
13,Yes,C,Yes
14,Yes,C,No
15,Yes,C,Yes
1,Yes,A,Yes
2,No,A,No
3,Yes,A,Yes
4,Yes,A,No
5,Yes,A,Yes
6,No,A,Yes
7,Yes,A,Yes
8,No,A,No
9,No,A,No
10,Yes,A,Yes
11,No,A,No
12,Yes,A,Yes
13,Yes,A,Yes
14,Yes,A,No
15,Yes,A,Yes
1,Yes,B,Yes
2,No,B,No
3,Yes,B,Yes
4,Yes,B,No
5,Yes,B,Yes
6,No,B,Yes
7,Yes,B,No
8,No,B,No
9,No,B,No
10,Yes,B,Yes
11,No,B,No
12,Yes,B,Yes
13,Yes,B,Yes
14,Yes,B,No
15,Yes,B,Yes
1,Yes,C,Yes
2,No,C,Yes
3,Yes,C,Yes
4,Yes,C,Yes
5,Yes,C,Yes
6,No,C,Yes
7,Yes,C,Yes
8,No,C,No
9,No,C,No
10,Yes,C,Yes
11,No,C,No
12,Yes,C,Yes
13,Yes,C,Yes
14,Yes,C,No
15,Yes,C,Yes
1,Yes,A,Yes
2,No,A,No
3,Yes,A,Yes
4,Yes,A,No
5,Yes,A,Yes
6,No,A,Yes
7,Yes,A,Yes
8,No,A,No
9,No,A,No
10,Yes,A,Yes
11,No,A,No
12,Yes,A,Yes
13,Yes,A,Yes
14,Yes,A,No
15,Yes,A,Yes
1,Yes,B,Yes
2,No,B,No
3,Yes,B,Yes
4,Yes,B,No
5,Yes,B,Yes
6,No,B,Yes
7,Yes,B,No
8,No,B,No
9,No,B,No
10,Yes,B,Yes
11,No,B,No
12,Yes,B,Yes
13,Yes,B,Yes
14,Yes,B,No
15,Yes,B,Yes
1,Yes,C,Yes
2,No,C,Yes
3,Yes,C,Yes
4,Yes,C,Yes
5,Yes,C,Yes
6,No,C,Yes
7,Yes,C,Yes
8,No,C,Yes
9,No,C,No
10,Yes,C,Yes
11,No,C,Yes
12,Yes,C,Yes
13,Yes,C,Yes
14,Yes,C,No
15,Yes,C,Yes
