Part,Standard,Appraiser,Measurement1,Measurement2,Measurement3
1,Yes,A,Yes,Yes,Yes
2,No,A,No,No,No
3,Yes,A,Yes,Yes,Yes
4,Yes,A,Yes,No,No
5,Yes,A,Yes,Yes,Yes
6,No,A,Yes,Yes,Yes
7,Yes,A,Yes,Yes,Yes
8,No,A,No,No,No
9,No,A,No,No,No
10,Yes,A,Yes,Yes,Yes
11,No,A,No,No,No
12,Yes,A,Yes,Yes,Yes
13,Yes,A,Yes,Yes,Yes
14,Yes,A,No,No,No
15,Yes,A,Yes,Yes,Yes
1,Yes,B,Yes,Yes,Yes
2,No,B,No,No,No
3,Yes,B,Yes,Yes,Yes
4,Yes,B,Yes,No,No
5,Yes,B,Yes,Yes,Yes
6,No,B,Yes,Yes,Yes
7,Yes,B,No,No,No
8,No,B,No,No,No
9,No,B,No,No,No
10,Yes,B,Yes,Yes,Yes
11,No,B,No,No,No
12,Yes,B,Yes,Yes,Yes
13,Yes,B,Yes,Yes,Yes
14,Yes,B,No,No,No
15,Yes,B,Yes,Yes,Yes
1,Yes,C,Yes,Yes,Yes
2,No,C,Yes,Yes,Yes
3,Yes,C,Yes,Yes,Yes
4,Yes,C,Yes,Yes,Yes
5,Yes,C,Yes,Yes,Yes
6,No,C,Yes,Yes,Yes
7,Yes,C,Yes,Yes,Yes
8,No,C,No,No,Yes
9,No,C,Yes,No,No
10,Yes,C,Yes,Yes,Yes
11,No,C,Yes,No,Yes
12,Yes,C,Yes,Yes,Yes
13,Yes,C,Yes,Yes,Yes
14,Yes,C,No,No,No
15,Yes,C,Yes,Yes,Yes
