"Part","Operator","Measurement"
1,"A",11.4750863075921
2,"A",5.93250372476496
3,"A",6.54614955478731
4,"A",10.807099964967
5,"A",9.17056715252929
6,"A",8.30286274931645
7,"A",6.08942143010005
8,"A",5.96028977887514
9,"A",6.90591349096998
10,"A",5.19756799114802
1,"A",10.3945828535995
2,"A",8.16607023717851
3,"A",7.06779846544079
4,"A",7.8712029325723
5,"A",12.8193648683409
6,"A",8.54981305141632
7,"A",8.56747724281858
8,"A",5.11399638200386
9,"A",8.75873321331355
10,"A",5.30420044279215
1,"A",12.0188552715559
2,"A",8.37938147394526
3,"A",9.05330386935696
4,"A",8.84834556209252
5,"A",11.5725780702687
6,"A",9.40119161186578
7,"A",6.40702127085197
8,"A",7.00872490065738
9,"A",8.84172787016011
10,"A",6.08267947901932
1,"B",10.3643341216281
2,"B",6.46253484540111
3,"B",7.27744082274129
4,"B",9.45363134263038
5,"B",11.2273933064237
6,"B",8.12953669289002
7,"B",7.82256494347536
8,"B",6.29426743407613
9,"B",7.98180444138921
10,"B",6.49130431855155
1,"B",10.187736334971
2,"B",8.27957445366285
3,"B",6.78619006135143
4,"B",8.15328828190264
5,"B",10.1431323450433
6,"B",8.15040915822557
7,"B",5.68593456747196
8,"B",5.87169433383598
9,"B",7.9240749530816
10,"B",6.41039075885636
1,"B",10.4493424270796
2,"B",7.94708783150868
3,"B",9.6092452455049
4,"B",9.72603773914422
5,"B",10.9023076422819
6,"B",8.81106232862023
7,"B",7.36341284570233
8,"B",5.79614609405888
9,"B",9.23204280364688
10,"B",4.87426997919696
1,"C",11.8288297458125
2,"C",8.12843625239608
3,"C",6.56449474255205
4,"C",9.40038216105201
5,"C",10.5183792141274
6,"C",8.39463188650803
7,"C",6.02605716506595
8,"C",6.6720003876181
9,"C",8.11689573306016
10,"C",5.20945333829475
1,"C",9.08017055113563
2,"C",7.58762906202825
3,"C",7.40383787318569
4,"C",8.33946271704779
5,"C",10.3579272520649
6,"C",8.68237938624707
7,"C",6.48175856532245
8,"C",5.90537518555301
9,"C",7.24673462620358
10,"C",5.74485221525603
1,"C",10.7034926393524
2,"C",9.47010453066411
3,"C",4.88040759380122
4,"C",8.76003499585494
5,"C",9.16205969616709
6,"C",8.71520097542767
7,"C",7.28120971982062
8,"C",6.73068381840703
9,"C",8.49838516247878
10,"C",4.81895359386578
