Part,Operator,Measurement
1,A,11.47508631
2,A,5.932503725
3,A,6.546149555
4,A,10.80709996
5,A,9.170567153
6,A,8.302862749
7,A,6.08942143
8,A,5.960289779
9,A,6.905913491
10,A,5.197567991
1,A,10.39458285
2,A,8.166070237
3,A,7.067798465
4,A,7.871202933
5,A,12.81936487
6,A,8.549813051
7,A,8.567477243
8,A,5.113996382
9,A,8.758733213
10,A,5.304200443
1,A,12.01885527
2,A,8.379381474
3,A,9.053303869
4,A,8.848345562
5,A,11.57257807
6,A,9.401191612
7,A,6.407021271
8,A,7.008724901
9,A,8.84172787
10,A,6.082679479
11,B,10.36433412
12,B,6.462534845
13,B,7.277440823
14,B,9.453631343
15,B,11.22739331
16,B,8.129536693
17,B,7.822564943
18,B,6.294267434
19,B,7.981804441
20,B,6.491304319
11,B,10.18773633
12,B,8.279574454
13,B,6.786190061
14,B,8.153288282
15,B,10.14313235
16,B,8.150409158
17,B,5.685934567
18,B,5.871694334
19,B,7.924074953
20,B,6.410390759
11,B,10.44934243
12,B,7.947087832
13,B,9.609245246
14,B,9.726037739
15,B,10.90230764
16,B,8.811062329
17,B,7.363412846
18,B,5.796146094
19,B,9.232042804
20,B,4.874269979
21,C,11.82882975
22,C,8.128436252
23,C,6.564494743
24,C,9.400382161
25,C,10.51837921
26,C,8.394631887
27,C,6.026057165
28,C,6.672000388
29,C,8.116895733
30,C,5.209453338
21,C,9.080170551
22,C,7.587629062
23,C,7.403837873
24,C,8.339462717
25,C,10.35792725
26,C,8.682379386
27,C,6.481758565
28,C,5.905375186
29,C,7.246734626
30,C,5.744852215
21,C,10.70349264
22,C,9.470104531
23,C,4.880407594
24,C,8.760034996
25,C,9.162059696
26,C,8.715200975
27,C,7.28120972
28,C,6.730683818
29,C,8.498385162
30,C,4.818953594
