Parts,Operators,1,2,3
1,Operator A,-0.5,-0.5,-0.5
2,Operator B,-0.5,-0.5,-0.5
3,Operator C,-1,-0.5,-0.5
4,Operator A,-7,-6.5,-6
5,Operator B,-6.5,-7,-6.5
6,Operator C,-6,-6,-6
7,Operator A,-2,-2,-1.5
8,Operator B,-1,-1,-2
9,Operator C,-2,-2,-1
10,Operator A,-8,-8,-7.5
11,Operator B,-7,-7.5,-7.5
12,Operator C,-7,-7,-7
13,Operator A,-4,-4,-3.5
14,Operator B,-3.5,-3.5,-4
15,Operator C,-3,-4,-4
16,Operator A,-2,-1,-2
17,Operator B,-1,-2,-2
18,Operator C,-1,-1,-1
19,Operator A,-11,-11,-11
20,Operator B,-11,-11,-11
21,Operator C,-11,-10,-11
22,Operator A,-6,-6,-6
23,Operator B,-6,-6,-6
24,Operator C,-6,-5,-5
25,Operator A,-2,-2,-1
26,Operator B,-2,-2,-2
27,Operator C,-2,-1,-2
28,Operator A,-6,-6,-6
29,Operator B,-6,-6,-6
30,Operator C,-6,-6,-6
