"Parts","Operators","1","2","3"
1,"Operator A",-0.5,-0.5,-0.5
1,"Operator B",-0.5,-0.5,-0.5
1,"Operator C",-1,-0.5,-0.5
2,"Operator A",-7,-6.5,-6
2,"Operator B",-6.5,-7,-6.5
2,"Operator C",-6,-6,-6
3,"Operator A",-2,-2,-1.5
3,"Operator B",-1,-1,-2
3,"Operator C",-2,-2,-1
4,"Operator A",-8,-8,-7.5
4,"Operator B",-7,-7.5,-7.5
4,"Operator C",-7,-7,-7
5,"Operator A",-4,-4,-3.5
5,"Operator B",-3.5,-3.5,-4
5,"Operator C",-3,-4,-4
6,"Operator A",-2,-1,-2
6,"Operator B",-1,-2,-2
6,"Operator C",-1,-1,-1
7,"Operator A",-11,-11,-11
7,"Operator B",-11,-11,-11
7,"Operator C",-11,-10,-11
8,"Operator A",-6,-6,-6
8,"Operator B",-6,-6,-6
8,"Operator C",-6,-5,-5
9,"Operator A",-2,-2,-1
9,"Operator B",-2,-2,-2
9,"Operator C",-2,-1,-2
10,"Operator A",-6,-6,-6
10,"Operator B",-6,-6,-6
10,"Operator C",-6,-6,-6
