Part,Reference,Measurement
1,2,2.7
1,2,2.5
1,2,2.4
1,2,2.5
1,2,2.7
1,2,2.3
1,2,2.5
1,2,2.5
1,2,2.4
1,2,2.4
1,2,2.6
1,2,2.4
2,4,5.1
2,4,3.9
2,4,4.2
2,4,5
2,4,3.8
2,4,3.9
2,4,3.9
2,4,3.9
2,4,3.9
2,4,4
2,4,4.1
2,4,3.8
3,6,5.8
3,6,5.7
3,6,5.9
3,6,5.9
3,6,6
3,6,6.1
3,6,6
3,6,6.1
3,6,6.4
3,6,6.3
3,6,6
3,6,6.1
4,8,7.6
4,8,7.7
4,8,7.8
4,8,7.7
4,8,7.8
4,8,7.8
4,8,7.8
4,8,7.7
4,8,7.8
4,8,7.5
4,8,7.6
4,8,7.7
5,10,9.1
5,10,9.3
5,10,9.5
5,10,9.3
5,10,9.4
5,10,9.5
5,10,9.5
5,10,9.5
5,10,9.6
5,10,9.2
5,10,9.3
5,10,9.4
