Time,Diameter
06:15,-10.9
06:15,-10.3
06:15,-5.6
06:15,-5.1
06:15,-8.2
06:55,-10.1
06:55,-9.0
06:55,-3.1
06:55,-9.3
06:55,-7.0
08:25,-3.6
08:25,-7.1
08:25,-9.0
08:25,-5.9
08:25,-4.3
09:40,-5.7
09:40,-9.9
09:40,-7.6
09:40,-10.3
09:40,-5.6
10:10,-8.3
10:10,-4.8
10:10,-7.8
10:10,-6.2
10:10,-5.7
10:55,-9.1
10:55,-8.4
10:55,-9.0
10:55,-7.1
10:55,-7.1
11:40,-8.0
11:40,-4.7
11:40,-6.1
11:40,-5.7
11:40,-4.2
13:05,-6.6
13:05,-8.2
13:05,-6.1
13:05,-5.6
13:05,-7.0
14:25,-7.4
14:25,-4.6
14:25,-3.8
14:25,-7.7
14:25,-10.2
15:05,-8.4
15:05,-6.9
15:05,-7.2
15:05,-8.9
15:05,-7.3
16:10,-7.4
16:10,-6.9
16:10,-5.7
16:10,-6.5
16:10,-4.7
16:55,-11.0
16:55,-5.8
16:55,-10.9
16:55,-6.4
16:55,-6.2
18:15,-5.8
18:15,-7.8
18:15,-8.2
18:15,-8.8
18:15,-4.3
19:25,-10.3
19:25,-6.0
19:25,-6.9
19:25,-7.8
19:25,-7.0
20:10,-7.6
20:10,-9.0
20:10,-8.2
20:10,-7.8
20:10,-7.3
21:00,-6.7
21:00,-7.1
21:00,-5.7
21:00,-5.2
21:00,-7.4
22:25,-7.6
22:25,-6.9
22:25,-5.6
22:25,-12.4
22:25,-5.6
23:10,-4.8
23:10,-5.4
23:10,-4.9
23:10,-8.5
23:10,-5.6
00:15,-8.3
00:15,-7.4
00:15,-5.5
00:15,-7.6
00:15,-5.6
01:05,-8.0
01:05,-8.4
01:05,-5.7
01:05,-8.5
01:05,-3.6
