StdOrder,RunOrder,Blocks,Inlet_feeding,Time,Oil_temperature,Vdk
1,3,1,900,23,75,5.6
2,5,1,1500,23,75,8.72
3,9,1,900,35,75,14.88
4,14,1,1500,35,75,7.8
5,6,1,900,23,115,6.29
6,12,1,1500,23,115,8.9
7,15,1,900,35,115,13.4
8,2,1,1500,35,115,4.18
9,11,1,900,29,95,11.54
10,13,1,1500,29,95,9.92
11,7,1,1200,23,95,9.24
12,4,1,1200,35,95,10.66
13,1,1,1200,29,75,11.54
14,10,1,1200,29,115,10.39
15,8,1,1200,29,95,11.34
2,16,1,1500,23,75,9.13
3,17,1,900,35,75,17.37
5,18,1,900,23,115,6.23
8,19,1,1500,35,115,4.38
3,20,1,900,35,75,16.89
8,21,1,1500,35,115,4.48
