ID,Framing,DonationAttitude,Justification,Skepticism
1,1,5.6,2.95,1.8
2,1,4.2,2.85,5.2
3,1,4.2,3,3.2
4,1,4.6,3.3,1
5,1,3,5,7.6
6,0,5,3.2,4.2
7,0,4.8,2.9,4.2
8,1,6,1.4,1.2
9,0,4.2,3.25,1.8
10,0,4.4,3.55,8.8
11,1,5.8,1.55,1
12,1,6.2,1.6,5.4
13,0,6,1.65,2.2
14,0,4.2,2.65,3.6
15,1,4.4,3.15,7.8
16,1,5.8,2.25,1.6
17,1,5.4,2.45,1
18,1,3.4,4.45,6.4
19,0,7,1,3.6
20,0,3.6,3.1,4
21,1,6,1.45,1.4
22,0,4.4,3.2,2.4
23,1,3.4,3.55,4
24,0,3.2,3,2.2
25,1,6.6,2,2.6
26,1,1,6.8,9
27,0,4,3.3,2.8
28,0,4.8,3.5,1.8
29,0,3,4,5
30,1,4.4,2,1.4
31,0,6,3.55,2.2
32,1,4.6,1.8,2.6
33,0,4.6,3.15,3.4
34,0,5.2,1.6,7
35,0,5.4,2.8,5.2
36,1,4.8,2.75,2
37,0,4,2.75,1.4
38,0,5.8,2.2,2.8
39,0,5,2.5,2.4
40,0,4.2,2,4.4
41,1,3,2.8,1.2
42,0,5.8,2.4,2.4
43,0,4.8,2.4,4
44,1,3.2,3.85,6.8
45,0,5.6,2.75,1.8
46,1,4.2,4.55,8.8
47,0,3,4,4
48,0,2,1.95,1.4
49,0,5.4,3.4,3.8
50,0,2.6,3.9,1.25
51,1,6,1.8,2.4
52,1,3.8,3.45,2.6
53,1,3.2,3.55,6.8
54,0,4.6,3.55,2.8
55,1,6.4,2.05,2.6
56,0,2.4,3.4,6.6
57,0,1,3.4,9
58,0,5.8,1.6,2.2
59,1,6.4,3.2,3.2
60,0,7,1,1
61,1,4.4,2.15,3.6
62,1,4.4,3,2
63,1,4.2,1.6,6
64,0,4.6,2.1,3.2
65,0,3,3.75,3.8
66,1,4,3.75,4.6
67,0,5,2.55,2.4
68,1,6,1.7,1.5
69,1,4.4,3.1,1.6
70,0,6,1.75,1.2
71,0,5.6,2.8,2.4
72,0,5,2.2,9
73,0,2.6,4.7,5.2
74,1,4.8,3.4,3.8
75,1,5.2,3.1,3.6
76,1,5.4,1.95,1.2
77,1,5.6,2.45,4.2
78,0,4.8,2.65,2
79,0,5.6,2.4,3.2
80,0,2,2.25,3.6
81,1,3.6,3.1,2
82,0,4.2,2.3,1.8
83,0,5,3.25,4
84,1,5.2,2.35,4.4
85,1,4.8,2.3,4.6
86,0,5.2,3.75,1.2
87,1,4.8,2,1.8
88,1,4.6,4.4,4.2
89,1,6.6,1.6,1.4
90,1,5,3.45,4.4
91,0,3.8,4.4,3.6
92,1,6.4,2.15,1
93,0,2.6,3.6,2.8
94,0,4.8,2.25,7
95,0,5,2.2,1.4
96,0,3,2.15,1
97,1,4,3.05,1
98,1,4.8,1.7,1
99,1,3.4,3.45,3.4
100,0,5.6,2.4,3.6
101,0,4.4,1.6,1.8
102,1,4,4.7,9
103,0,5.8,2.1,1
104,1,6,2.15,2.4
105,0,5.6,1.9,1.8
106,0,5.4,2.9,3.2
107,0,6,2.85,2.4
108,0,4,4.1,9
109,1,3.8,4,1.8
110,1,5.2,2.85,2.8
111,0,3.2,2.45,1.6
112,1,6.4,1.8,2.6
113,1,6,2,3.2
114,1,5.6,3,5.4
115,1,3.6,2.95,5.2
116,1,4.8,2.25,2.4
117,0,1,3.45,4.6
118,1,6.2,2.75,4
119,1,5.6,2.15,3.2
120,1,3.8,3.45,3.2
121,0,5,3.25,4.6
122,1,7,1.35,1.8
123,0,5.8,2.3,1
124,0,6,2.7,1.8
125,1,5.6,2.96,2.2
126,1,2.6,4.9,8.4
127,1,1.6,3.6,4.8
128,1,3.6,3.6,6.4
129,1,2.4,3.5,5
130,1,2,4.75,4.2
131,0,4.6,1.7,1
132,0,4.4,2.4,1.8
133,0,5.6,2.05,3.8
134,1,5.2,2.4,2.6
135,0,4.2,2.25,6.6
136,0,6.2,1.7,3.4
137,0,3,4.1,1
138,1,6,1.25,3.2
139,0,4.2,2.35,1.4
140,0,3,3,4.6
141,1,6,2.35,2.4
142,0,4.6,3.63,3
143,0,5.4,1.7,2.6
144,1,1,5.3,9
145,1,5.8,1.95,1.8
146,1,5.6,2.95,4.4
147,1,6,1.7,1.8
148,0,6,2.3,8
149,1,3,3.75,2.8
150,1,5.6,3.5,4.2
151,1,5,2.05,2.2
152,0,5.2,3.1,2.4
153,0,6.4,1.4,1.6
154,0,4,2.7,4
155,0,4.8,2.1,2.8
156,0,2.6,4.4,2.4
157,1,5,2.9,1.6
158,0,1,4,1.4
159,0,7,3.5,5
160,1,5.8,2,2.8
161,0,2.6,4.5,9
162,0,6,2.1,2.6
163,0,5.6,3.25,1
164,0,5,2.6,9
165,0,5,2.95,2.4
166,0,6,2.75,2.6
167,0,3.2,3,4.2
168,0,5.6,2.1,1.2
169,0,4.4,2.55,5.2
170,0,7,1.1,1.4
171,1,4.4,3.1,2.4
172,0,1,4.95,1.6
173,1,5.6,3.35,2
174,1,4.6,3.8,1.6
175,1,2.2,3.85,5.2
176,0,3.2,2.8,3
177,1,5,2.55,2.2
178,1,5,2.95,5.4
179,1,3.6,2.85,2.2
180,0,6,1.4,2.2
181,0,4.4,2.85,6
182,1,5.6,2.3,1.6
183,0,5,2.15,1.4
184,0,3,3.4,4.2
185,0,5.2,2.95,2.8
186,1,5,2.75,2
187,0,4.8,3.7,1.6
188,0,6.4,1.85,2.8
189,0,5,2.45,2.8
190,0,3.2,4.1,4.2
191,0,5.6,2.28,1
192,0,5.6,1.9,3.2
193,1,2.6,5.05,2
194,1,4.8,3.8,2.8
195,1,5.8,3.7,5.8
196,1,3.2,2.55,3.2
197,1,4.8,1.85,2
198,1,5.6,2.25,2.2
199,0,4,4.25,5.6
200,1,3.8,3.75,2.2
201,0,5.6,2.25,3.2
202,1,5.6,2.3,1.4
203,1,3.2,3.35,3.4
204,0,4.6,3.1,1.6
205,0,5,3.05,2.6
206,1,3.6,3.7,4.4
207,1,4.8,3.2,5.4
208,0,5,3.65,5.2
209,1,4,3.2,3.8
210,0,2.4,4.25,6
211,1,3.6,4.3,3.6
