StudyID,Treatment,Repitition,WordsRecall,Imagery
1,1,1,14,8
1,1,1,17,9
1,1,3,8,7
1,1,7,10,7
1,1,2,10,6
1,1,1,8,3
1,1,7,12,6
1,1,3,12,7
1,1,6,15,7
1,1,6,7,8
1,1,9,10,8
1,1,3,8,5
1,1,1,9,5
1,1,4,15,8
1,1,4,15,9
1,1,3,9,4
1,1,7,18,7
1,1,4,6,3
1,1,1,8,5
1,1,8,10,8
1,1,4,16,9
1,1,1,13,9
1,1,1,8,4
1,1,1,6,7
1,1,9,13,5
1,1,3,12,8
1,1,5,12,7
1,1,3,8,9
1,1,6,13,7
1,1,3,7,7
1,1,7,15,8
1,1,1,11,6
1,1,2,7,4
1,1,7,7,5
1,1,2,18,8
1,1,2,14,9
1,1,1,8,6
1,1,5,9,6
1,0,9,10,1
1,0,9,10,1
1,0,9,13,9
1,0,9,9,3
1,0,9,11,2
1,0,5,20,1
1,0,9,10,1
1,0,7,12,9
1,0,6,13,1
1,0,9,10,2
1,0,9,11,1
1,0,8,12,3
1,0,9,13,1
1,0,9,12,2
1,0,8,9,2
1,0,9,10,4
1,0,9,11,1
1,0,6,8,3
1,0,9,10,2
1,0,10,10,3
1,0,6,6,9
1,0,8,12,6
1,0,9,10,1
1,0,6,10,3
1,0,9,10,1
1,0,8,9,1
1,0,8,11,2
1,0,8,6,1
1,0,8,9,2
1,0,9,10,4
1,0,9,11,1
1,0,8,9,3
1,0,9,14,5
1,0,8,8,4
1,0,9,10,8
1,0,9,8,2
1,0,6,14,5
1,0,9,12,1
2,0,9,4,9
2,0,7,10,1
2,0,7,9,5
2,0,6,3,1
2,0,9,10,6
2,0,9,12,1
2,0,9,8,2
2,0,7,14,9
2,0,8,13,8
2,0,8,15,1
2,0,9,14,4
2,0,9,10,4
2,0,4,16,6
2,0,8,9,3
2,0,9,18,9
2,0,5,7,1
2,0,9,8,1
2,0,8,7,1
2,0,9,12,2
2,0,9,9,2
2,0,9,7,1
2,1,2,16,9
2,1,2,17,9
2,1,2,13,8
2,1,1,19,9
2,1,4,14,7
2,1,3,18,9
2,1,4,11,5
2,1,2,10,9
2,1,3,13,7
2,1,2,9,8
2,1,7,11,5
2,1,1,15,9
2,1,9,14,8
2,1,8,15,6
2,1,4,13,9
2,1,1,11,9
2,1,1,15,8
2,1,4,12,9
2,1,4,13,9
2,1,3,10,9
2,1,8,14,4
2,1,12,15,2
3,1,2,17,9
3,1,2,15,9
3,1,2,13,8
3,1,3,12,8
3,1,3,14,8
3,1,5,17,9
3,1,2,10,9
3,1,7,15,9
3,1,3,17,8
3,1,1,15,6
3,1,5,9,9
3,1,1,13,8
3,1,2,15,9
3,0,9,10,2
3,0,7,12,8
3,0,9,5,1
3,0,8,7,3
3,0,9,7,3
3,0,9,11,1
3,0,8,9,2
3,0,8,11,2
3,0,6,12,3
3,0,9,9,1
3,0,9,9,3
4,1,1,18,9
4,1,6,15,9
4,1,5,13,9
4,1,2,13,8
4,1,3,14,7
4,1,7,15,9
4,1,5,13,9
4,1,5,16,9
4,1,2,16,8
4,1,4,17,9
4,1,3,10,6
4,1,2,14,7
4,1,7,10,8
4,1,5,10,7
4,1,1,12,9
4,1,6,14,9
4,1,2,14,8
4,1,7,13,9
4,1,1,5,3
4,1,3,14,9
4,1,1,14,9
4,1,8,10,8
4,1,8,14,7
4,1,7,13,8
4,1,3,14,8
4,1,1,17,8
4,1,7,5,6
4,1,3,16,9
4,1,7,16,8
4,1,5,14,7
4,1,3,14,9
4,1,5,12,9
4,1,6,12,7
4,1,7,14,9
4,1,5,13,4
4,1,2,10,8
4,1,9,11,9
4,1,3,17,7
4,0,2,13,7
4,0,9,9,1
4,0,9,17,7
4,0,9,16,3
4,0,9,9,1
4,0,9,10,9
4,0,9,10,3
4,0,3,11,8
4,0,9,8,5
4,0,4,12,8
4,0,5,13,9
4,0,9,15,9
4,0,9,11,2
4,0,9,12,5
4,0,9,12,7
4,0,8,12,7
4,0,9,10,4
4,0,9,16,6
4,0,9,14,9
4,0,9,12,5
4,0,9,9,2
4,0,9,10,8
4,0,9,10,2
4,0,9,10,3
4,0,9,11,3
4,0,5,13,3
4,0,9,7,4
4,0,9,14,7
4,0,9,8,2
4,0,9,10,3
4,0,9,5,1
4,0,9,8,3
4,0,7,8,5
4,0,9,7,1
4,0,9,11,5
4,0,9,10,9
4,0,8,17,9
4,0,8,9,3
4,0,9,12,1
4,0,8,7,1
4,0,7,11,2
5,0,9,11,2
5,0,7,10,3
5,0,9,12,1
5,0,8,9,1
5,0,3,19,8
5,0,8,9,2
5,0,9,10,1
5,0,8,15,1
5,0,9,7,2
5,0,8,10,2
5,1,2,15,8
5,1,4,11,7
5,1,8,15,7
5,1,2,16,8
5,1,2,7,9
5,1,2,10,9
5,1,8,13,8
5,1,6,14,3
5,1,2,14,9
5,1,8,15,8
5,1,7,7,7
5,1,3,11,8
6,0,8,10,1
6,0,9,14,3
6,0,8,20,9
6,0,9,10,3
6,0,6,17,8
6,0,1,13,5
6,0,7,8,1
6,0,9,8,1
6,0,8,13,3
6,0,9,13,7
6,0,9,12,2
6,0,8,17,8
6,0,9,11,9
6,0,9,7,1
6,0,9,5,1
6,0,9,12,1
6,1,3,17,9
6,1,9,12,5
6,1,5,16,8
6,1,2,15,6
6,1,7,13,9
6,1,5,17,9
6,1,5,15,8
6,1,7,13,4
6,1,3,12,9
6,1,4,8,6
6,1,3,15,7
6,1,7,12,3
6,1,6,10,9
6,1,2,13,2
6,1,9,13,4
