Condition,MediaInfluence,Importance,Intention,Gender,Age
1,7,6,5.25,1,51
0,6,1,1.25,1,40
1,5.5,6,5,1,26
0,6.5,6,2.75,0,21
0,6,5,2.5,1,27
0,5.5,1,1.25,1,25
0,3.5,1,1.5,0,23
1,6,6,4.75,1,25
0,4.5,6,4.25,1,22
0,7,6,6.25,1,24
1,1,3,1.25,0,22
0,6,3,2.75,0,21
1,5,4,3.75,0,23
0,7,7,5,0,21
1,7,1,4,0,22
1,7,6,5,0,23
0,4.5,3,3.5,0,23
0,3.5,3,2.25,0,23
1,7,2,4.5,0,22
0,7,4,5.75,1,23
1,4.5,4,2.75,0,22
1,6,6,3.75,0,19.5
1,6,7,2.75,1,61
1,4,4,4,1,25
1,7,5,5,0,23
0,4,4,2,1,60
1,6.5,6,4,0,22
0,6,5,1.75,0,23
1,6.5,5,3.5,0,22
0,6,7,4.75,1,23
0,4,4,4,0,25
1,7,1,3,0,22
0,6,4,5.75,0,23
0,7,5,2.75,0,22
1,6.5,5,3.25,1,25
0,5.5,4,5.5,0,24
1,6,4,3.25,1,24
0,2,2,1.25,1,29
1,4.5,2,2,1,24
0,4,3,2.5,1,18
0,7,3,3,1,23
0,6,4,5.75,0,21
1,7,2,1.5,1,24
0,5,5,4,0,26
1,7,3,1.25,1,24
1,7,7,3.25,1,22
0,5,4,3.75,0,21
0,6,4,2.75,1,26
0,5.5,4,3,1,24
1,7,4,6,1,27
0,3.5,6,3.25,1,26
1,7,2,2.75,1,24
0,6,5,5,1,24
0,3.5,4,1.5,0,26
1,7,7,7,1,24
1,5,1,5,1,22
1,1.5,2,1.75,1,23
0,6.5,2,2.25,0,24
1,6,5,3.5,0,24
0,7,1,3.5,1,25
0,7,5,6.75,0,23
1,6,5,4.25,0,23
1,6,5,4,0,23
0,4,3,2.25,0,24
0,3.5,2,3,0,18
0,6,4,5.5,0,23
1,6,5,1.75,1,25
1,6,3,4.5,0,24
0,5,6,4.25,0,23
0,3,4,1.5,0,23
1,7,4,2,0,24
0,6,2,1.5,0,22
1,5,4,3.25,1,24
0,5,5,1,0,25
1,5.5,2,1.5,0,22
0,5.5,5,1,0,22
0,6,6,2.5,0,23
0,2.5,2,1,1,25
1,4.5,4,3,0,23
0,5,4,2.5,0,23
0,6,2,1,1,24
1,5,5,3.75,1,21
1,7,7,1.75,0,23
1,5,3,2.75,0,21
1,4.5,5,5.25,1,23
1,6.5,6,5.25,0,19
1,7,6,5,1,25
0,6,5,5,0,23
1,5,7,5,0,22
1,7,6,6.5,0,19
0,5.5,5,3,0,23
1,6,4,2.75,0,24
1,6,5,4.25,1,32
1,7,6,7,0,27
1,4,7,5.75,0,25
1,6.5,5,3,0,24
1,5,4,4.5,0,23
0,7,3,4.25,0,28
0,7,4,4.5,0,24
0,5,3,3.75,0,24
0,7,1,4.75,0,24
0,7,4,2.5,0,25
0,5,3,1,0,24
0,6,5,6,0,25
0,5,6,2,0,24
0,6.5,6,5,0,24
1,7,7,5,0,24
1,6.5,7,4.25,0,25
1,6,3,2,1,28
1,5,6,3.5,0,24
1,5.5,1,1.75,0,26
1,5.5,6,3.5,0,27
1,5,4,2.25,0,25
1,7,5,5.5,1,25
0,1.5,1,1,0,26
0,6,3,3,0,25
0,5.5,5,2.25,0,25
0,6.5,6,4.75,1,25
0,4.5,3,2.25,0,26
0,3.5,1,1.5,0,22
0,6,6,5.75,0,24
0,6.5,2,5.25,0,23
0,5.5,6,3,0,24
