ID,Gender,Alcohol,Attractiveness
1,Female,None,65
2,Female,None,70
3,Female,None,60
4,Female,None,60
5,Female,None,60
6,Female,None,55
7,Female,None,60
8,Female,None,55
9,Female,2 Pints,70
10,Female,2 Pints,65
11,Female,2 Pints,60
12,Female,2 Pints,70
13,Female,2 Pints,65
14,Female,2 Pints,60
15,Female,2 Pints,60
16,Female,2 Pints,50
17,Female,4 Pints,55
18,Female,4 Pints,65
19,Female,4 Pints,70
20,Female,4 Pints,55
21,Female,4 Pints,55
22,Female,4 Pints,60
23,Female,4 Pints,50
24,Female,4 Pints,50
25,Male,None,50
26,Male,None,55
27,Male,None,80
28,Male,None,65
29,Male,None,70
30,Male,None,75
31,Male,None,75
32,Male,None,65
33,Male,2 Pints,45
34,Male,2 Pints,60
35,Male,2 Pints,85
36,Male,2 Pints,65
37,Male,2 Pints,70
38,Male,2 Pints,70
39,Male,2 Pints,80
40,Male,2 Pints,60
41,Male,4 Pints,30
42,Male,4 Pints,30
43,Male,4 Pints,30
44,Male,4 Pints,55
45,Male,4 Pints,35
46,Male,4 Pints,20
47,Male,4 Pints,45
48,Male,4 Pints,40
