Gender,Age,RelLen,Condition,PartnerAttractiveness,LoveForPartner,AveragePleasantness
Male,43,3.75,Nudes,21,76,5.9375
Female,26,3,Nudes,19,66,4.75
Female,35,5.25,Abstract Art,27,103,6.25
Female,31,2,Abstract Art,22,76,5.5625
Female,23,4,Abstract Art,27,109,2.375
Male,36,19.91666667,Nudes,16,98,5.125
Male,58,22.5,Abstract Art,23,102,4.875
Female,28,3.416666667,Abstract Art,23,109,5.3125
Male,55,4.75,Nudes,21,116,6.75
Female,47,26.25,Abstract Art,24,67,4.875
Female,38,5.25,Nudes,27,114,6.1875
Male,32,6.416666667,Abstract Art,22,91,4.75
Male,35,8.583333333,Nudes,14,73,6.3125
Female,33,4,Abstract Art,27,112,6.8125
Female,32,14.08333333,Abstract Art,19,106,3.75
Female,33,7.833333333,Nudes,21,78,3.8125
Male,30,3.5,Abstract Art,25,70,4.8125
Male,39,16.75,Abstract Art,25,88,4.8125
Male,35,12,Nudes,21,103,4.6875
Female,24,3.25,Nudes,24,107,5.625
Male,44,18,Abstract Art,20,84,4.0625
Male,42,8,Nudes,18,69,5.625
Male,29,2,Abstract Art,13,81,5.125
Male,29,2.166666667,Abstract Art,27,48,5.3125
Female,31,7.25,Abstract Art,3,45,3.25
Female,33,4,Abstract Art,27,112,6.5625
Male,24,3.5,Abstract Art,21,97,3.9375
Male,28,5.25,Abstract Art,27,107,4.6875
Male,34,1.416666667,Nudes,13,97,5.75
Female,62,42.75,Abstract Art,20,103,3.625
Female,41,13.25,Nudes,21,110,4.5
Female,22,4.166666667,Abstract Art,16,81,5.5625
Male,36,1.75,Abstract Art,19,82,5.25
Male,31,5.166666667,Abstract Art,17,62,4.3125
Female,43,15,Nudes,27,114,3.25
Female,23,1.333333333,Abstract Art,27,115,5.25
Male,48,7.416666667,Nudes,24,101,4.125
Female,26,2.25,Nudes,22,103,5.625
Female,28,10.41666667,Abstract Art,12,91,5.5
Male,55,33.33333333,Abstract Art,19,75,3.625
Female,51,8,Abstract Art,24,108,4.5
Male,32,1.5,Abstract Art,18,101,4.625
Male,38,12.91666667,Abstract Art,18,75,4.8125
