Friends,Participant,Score
102,1,3.8
102,2,3.6
102,3,3.2
102,4,2.4
102,5,4.8
102,6,3
102,7,4.2
102,8,3.6
102,9,3.2
102,10,3
102,11,4.8
102,12,3.4
102,13,4.8
102,14,3
102,15,4.6
102,16,2.8
102,17,6
102,18,2.8
102,19,5.2
102,20,3.2
102,21,4.2
102,22,2.2
102,23,5
102,24,4.8
302,25,5
302,26,5.2
302,27,5.6
302,28,2.6
302,29,3.8
302,30,4.8
302,31,5.6
302,32,4.8
302,33,6.4
302,34,4.8
302,35,4.4
302,36,6
302,37,3.8
302,38,4.8
302,39,4.6
302,40,6
302,41,5
302,42,3
302,43,4.4
302,44,5.4
302,45,5.4
302,46,4.6
302,47,5.6
302,48,5.8
302,49,4.2
302,50,4.8
302,51,5
302,52,5.2
302,53,4.2
302,54,5
302,55,5.8
302,56,5.6
302,57,3.8
502,58,4.6
502,59,4
502,60,4.8
502,61,3
502,62,2
502,63,5.8
502,64,5.6
502,65,4.4
502,66,4.4
502,67,5.6
502,68,4.6
502,69,5.6
502,70,3
502,71,5.6
502,72,3.6
502,73,6.8
502,74,3.2
502,75,4.8
502,76,4.6
502,77,5.4
502,78,4.8
502,79,4.8
502,80,5.4
502,81,3.6
502,82,4.8
502,83,3.8
702,84,3.2
702,85,3.6
702,86,5.8
702,87,1.2
702,88,3.8
702,89,5.4
702,90,3.6
702,91,3.4
702,92,5
702,93,5.2
702,94,3.6
702,95,2.6
702,96,7
702,97,4.4
702,98,4.8
702,99,5.2
702,100,5.4
702,101,3.6
702,102,1
702,103,5
702,104,5
702,105,6
702,106,4.2
702,107,5.8
702,108,3.2
702,109,5.4
702,110,6.4
702,111,4.4
702,112,3
702,113,6
902,114,4.2
902,115,4.6
902,116,3
902,117,2.6
902,118,5.2
902,119,5.2
902,120,1.6
902,121,5
902,122,4.4
902,123,5
902,124,3.6
902,125,4.2
902,126,5
902,127,3.4
902,128,3.6
902,129,5
902,130,3.2
902,131,2.4
902,132,4.8
902,133,3.6
902,134,4.2
