V1,Height,Voice.part,Gender,Part,Within.part.level,Within.gender.level,Pitch
1,64,Soprano 1,female,Soprano,1,high,1. very high
2,62,Soprano 1,female,Soprano,1,high,1. very high
3,66,Soprano 1,female,Soprano,1,high,1. very high
4,65,Soprano 1,female,Soprano,1,high,1. very high
5,60,Soprano 1,female,Soprano,1,high,1. very high
6,61,Soprano 1,female,Soprano,1,high,1. very high
7,65,Soprano 1,female,Soprano,1,high,1. very high
8,66,Soprano 1,female,Soprano,1,high,1. very high
9,65,Soprano 1,female,Soprano,1,high,1. very high
10,63,Soprano 1,female,Soprano,1,high,1. very high
11,67,Soprano 1,female,Soprano,1,high,1. very high
12,65,Soprano 1,female,Soprano,1,high,1. very high
13,62,Soprano 1,female,Soprano,1,high,1. very high
14,65,Soprano 1,female,Soprano,1,high,1. very high
15,68,Soprano 1,female,Soprano,1,high,1. very high
16,65,Soprano 1,female,Soprano,1,high,1. very high
17,63,Soprano 1,female,Soprano,1,high,1. very high
18,65,Soprano 1,female,Soprano,1,high,1. very high
19,62,Soprano 1,female,Soprano,1,high,1. very high
20,65,Soprano 1,female,Soprano,1,high,1. very high
21,66,Soprano 1,female,Soprano,1,high,1. very high
22,62,Soprano 1,female,Soprano,1,high,1. very high
23,65,Soprano 1,female,Soprano,1,high,1. very high
24,63,Soprano 1,female,Soprano,1,high,1. very high
25,65,Soprano 1,female,Soprano,1,high,1. very high
26,66,Soprano 1,female,Soprano,1,high,1. very high
27,65,Soprano 1,female,Soprano,1,high,1. very high
28,62,Soprano 1,female,Soprano,1,high,1. very high
29,65,Soprano 1,female,Soprano,1,high,1. very high
30,66,Soprano 1,female,Soprano,1,high,1. very high
31,65,Soprano 1,female,Soprano,1,high,1. very high
32,61,Soprano 1,female,Soprano,1,high,1. very high
33,65,Soprano 1,female,Soprano,1,high,1. very high
34,66,Soprano 1,female,Soprano,1,high,1. very high
35,65,Soprano 1,female,Soprano,1,high,1. very high
36,62,Soprano 1,female,Soprano,1,high,1. very high
37,63,Soprano 2,female,Soprano,2,high,2. high
