len,supp,dose
4.2,VC,500
11.5,VC,500
7.3,VC,500
5.8,VC,500
6.4,VC,500
10,VC,500
11.2,VC,500
11.2,VC,500
5.2,VC,500
7,VC,500
16.5,VC,1000
16.5,VC,1000
15.2,VC,1000
17.3,VC,1000
22.5,VC,1000
17.3,VC,1000
13.6,VC,1000
14.5,VC,1000
18.8,VC,1000
15.5,VC,1000
23.6,VC,2000
18.5,VC,2000
33.9,VC,2000
25.5,VC,2000
26.4,VC,2000
32.5,VC,2000
26.7,VC,2000
21.5,VC,2000
23.3,VC,2000
29.5,VC,2000
15.2,OJ,500
21.5,OJ,500
17.6,OJ,500
9.7,OJ,500
14.5,OJ,500
10,OJ,500
8.2,OJ,500
9.4,OJ,500
16.5,OJ,500
9.7,OJ,500
19.7,OJ,1000
23.3,OJ,1000
23.6,OJ,1000
26.4,OJ,1000
20,OJ,1000
25.2,OJ,1000
25.8,OJ,1000
21.2,OJ,1000
14.5,OJ,1000
27.3,OJ,1000
25.5,OJ,2000
26.4,OJ,2000
22.4,OJ,2000
24.5,OJ,2000
24.8,OJ,2000
30.9,OJ,2000
26.4,OJ,2000
27.3,OJ,2000
29.4,OJ,2000
23,OJ,2000
