word,length,M AROU,SD AROU,N AROU,M VAL,SD VAL,N VAL,M DOM,SD DOM,N DOM,M CNC,SD CNC,N CNC,M IMAG,SD IMAG,N IMAG,M FAM,SD FAM,N FAM,M AOA,SD AOA,N AOA,M SIZE,SD SIZE,N SIZE,M GEND,SD GEND,N GEND
abattoir,8,4.3333,2.357,24,2.7619,1.7156,21,4.3333,1.3333,18,5.6667,1.6714,21,4.4545,2.1475,22,2.3824,1.7989,34,6.76,0.4271,25,4.6522,1.5494,23,5.4545,1.1571,22
abbey,5,3.2857,2.3733,28,5.7097,1.2233,31,4.6333,1.6224,30,5.9032,1.5315,31,5.3,1.9175,30,3.2121,1.719,33,5.1765,1.3388,34,5.1212,1.6285,33,3.2813,1.2051,32
abbreviate,10,3.2258,1.6006,31,5.2727,1.0231,33,5.2353,1.2381,34,3.2857,1.7332,35,3.1765,1.6886,34,4.9333,1.8245,30,5.5429,1.1299,35,2.6667,1.6997,33,3.9333,0.9978,30
abdicate,8,4.3,1.8824,30,3.7667,1.3828,30,4.25,2.1815,28,3.3448,1.8805,29,2.5161,1.5213,31,3.7879,1.9963,33,6.2759,0.8261,29,4.6786,1.4406,28,5.1667,1.1856,30
abdication,10,3.8462,2.2819,26,3.88,1.608,25,4.8,1.9596,25,3.2917,1.6196,24,2.5714,1.2936,28,3.0968,2.0217,31,6.4074,0.9132,27,5.1304,1.3611,23,4.6154,1.0406,26
abdomen,7,4.7059,2.1217,34,5.4857,0.9672,35,5.2727,1.6194,33,6.6061,0.6485,33,6.2353,1.1646,34,4.5625,1.7128,32,5.4571,1.1794,35,3.4857,1.4808,35,4.6176,1.0294,34
abdominal,9,3.875,1.8998,32,5.2121,1.1216,33,4.6667,1.5109,33,5.7353,1.1196,34,5.0303,1.5272,33,4.8065,1.6347,31,5.7059,1.4457,34,3.7879,1.4514,33,4.2424,1.129,33
abduct,6,4.8,2.4138,30,2.1765,1.424,34,3.0645,2.2992,31,4.5455,1.6347,33,4.2647,1.6505,34,4.3636,1.9356,33,5.0313,1.237,32,4.4516,1.3875,31,5,1,30
abducted,8,5.3438,2.922,32,1.9688,0.918,32,2.871,2.5494,31,4.8125,1.2854,32,4.2121,1.871,33,5.3,1.7349,30,5.2903,1.3,31,5.1613,1.648,31,4.5625,1.5194,32
abduction,9,5.3235,2.575,34,1.6176,0.8049,34,2.8857,2.1216,35,4.9118,1.8047,34,4.7941,1.8276,34,4.3636,1.7721,33,5.1143,1.3892,35,5.0588,1.5328,34,4.6857,1.0077,35
aberration,10,5,2.4337,26,3.2,1.7889,25,4.8462,1.8333,26,3.2174,1.8405,23,2.7083,1.9253,24,2.4848,1.9403,33,6.4138,1.0673,29,4.875,1.5087,24,4.32,0.7859,25
abide,5,3.875,1.8157,32,5.3871,1.5383,31,4.3103,2.306,29,2.4848,1.1314,33,2.3636,1.3667,33,4.2903,1.5902,31,5.697,1.2669,33,4.0333,1.3536,30,4.0606,1.0132,33
ability,7,5.4706,1.9589,34,6.9118,1.0946,34,6.9706,1.465,34,2.9412,1.3048,34,2.5152,1.2582,33,6,1.015,33,4.0606,1.2778,33,5.0294,1.2001,34,4.2059,1.2314,34
able,4,4.8529,2.1711,34,7.1143,1.4691,35,7.0303,1.8827,33,3.1818,1.7659,33,3.0571,1.5296,35,6.1818,1.1666,33,3.5882,1.2395,34,4.4,1.6423,35,3.6471,0.8705,34
abode,5,3.8966,1.807,29,5.7333,1.3646,30,5.8276,1.5328,29,4.4643,2.0956,28,4.4516,2.061,31,3.1875,1.6665,32,6.2,0.9092,30,4.0741,1.1523,27,3.5667,1.0225,30
abortion,8,3.9143,2.9892,35,2.5882,1.6109,34,5.4412,2.8511,34,5.4118,1.734,34,4.303,1.946,33,4.871,1.7733,31,6.1176,0.9931,34,4.9394,1.7571,33,2.6176,1.237,34
abroad,6,6.625,2.0879,32,6.7429,1.3168,35,5.1212,1.7881,33,4.5588,1.4591,34,4.4857,1.7299,35,6,1.1456,32,3.8571,1.4763,35,5.5455,1.3048,33,3.8788,0.5907,33
abrupt,6,4.9091,2.0651,33,3.6364,0.7311,33,4.4848,1.7078,33,2.8529,1.3091,34,2.7059,1.4252,34,5.2353,1.3732,34,5.3714,1.2892,35,4.5152,1.2582,33,4.6,0.9621,35
absorb,6,4.4839,1.5836,31,5.4375,1.3679,32,5.1613,1.1667,31,3.1875,1.3564,32,3.6774,1.7299,31,4.9655,0.8899,29,4.7097,1.0532,31,3.7097,1.3,31,3.7692,0.7498,26
abstract,8,4.7429,2.1158,35,5.2941,1.3401,34,4.7941,1.7786,34,1.7143,1.5779,35,2.1714,1.4636,35,4.697,1.8004,33,5.9118,1.3143,34,4.3235,1.5477,34,3.7647,0.9719,34
absurd,6,5.4138,2.0089,29,3.5625,1.6571,32,4.7188,1.5458,32,2.0645,0.8775,31,2.2333,1.3585,30,4.6296,1.4944,27,5.2581,1.2435,31,4.5333,0.9911,30,4.1071,0.7718,28
absurdly,8,4.5152,1.9559,33,3.3939,0.9829,33,4.697,1.5272,33,2.5152,1.3055,33,2.4688,1.4358,32,4.25,1.9685,32,5.4545,1.1035,33,4.7273,1.0523,33,4,1.2247,32
abundance,9,4.7143,2.3733,35,6.5758,1.256,33,6.2,1.5639,35,3.2286,1.7742,35,3.9714,1.7482,35,4.5588,1.6304,34,6.1143,0.9493,35,6.1429,0.9604,35,3.5882,0.943,34
abundant,8,5.2353,2.4017,34,7,1.633,33,6.0938,1.6651,32,3,1.4349,34,2.8529,1.8332,34,4.9286,1.7306,28,6.1429,0.9302,35,5.871,1.2887,31,3.8824,1.3232,34
