V1,Height Ratio,Popular Vote
1,0.924324,0.427781
2,1.08187,0.56149
3,1,0.597142
4,0.971098,0.581254
5,1.02976,0.530344
6,0.935135,0.507426
7,0.994253,0.526679
8,0.908163,0.536691
9,1.04571,0.577826
10,1.18405,0.573225
11,1.11561,0.55041
12,0.97191,0.55938
13,0.977528,0.484824
14,0.97861,0.500466
15,1,0.502934
16,0.933333,0.495696
17,1.07143,0.516904
18,0.944444,0.522051
19,0.944444,0.531494
20,1.01714,0.600149
21,1.01111,0.54508
22,1.01124,0.604275
23,1.01124,0.516359
24,1.08929,0.63851
25,0.988889,0.652184
26,1.01111,0.58792
27,1.03297,0.59149
28,1.04444,0.624615
29,1,0.55004
30,1.08671,0.537772
31,1.01156,0.523674
32,1.00562,0.554517
33,1.00562,0.577512
34,1.00549,0.500856
35,1.07222,0.613445
36,1.01111,0.504063
37,0.983784,0.617884
38,0.967213,0.510499
39,1.0452,0.553073
40,1.02778,0.591664
41,1.08671,0.538982
42,1,0.534551
43,1.00535,0.547304
44,0.983784,0.497351
45,0.943005,0.512424
46,1.05714,0.536915
