Animal,Training,Dance
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,Yes
Cat,Food as Reward,No
Cat,Food as Reward,No
Cat,Food as Reward,No
Cat,Food as Reward,No
Cat,Food as Reward,No
Cat,Food as Reward,No
Cat,Food as Reward,No
Cat,Food as Reward,No
Cat,Food as Reward,No
Cat,Food as Reward,No
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
