Cat,Training,Dance
1,Food as Reward,Yes
2,Food as Reward,Yes
3,Food as Reward,Yes
4,Food as Reward,Yes
5,Food as Reward,Yes
6,Food as Reward,Yes
7,Food as Reward,Yes
8,Food as Reward,Yes
9,Food as Reward,Yes
10,Food as Reward,Yes
11,Food as Reward,Yes
12,Food as Reward,Yes
13,Food as Reward,Yes
14,Food as Reward,Yes
15,Food as Reward,Yes
16,Food as Reward,Yes
17,Food as Reward,Yes
18,Food as Reward,Yes
19,Food as Reward,Yes
20,Food as Reward,Yes
21,Food as Reward,Yes
22,Food as Reward,Yes
23,Food as Reward,Yes
24,Food as Reward,Yes
25,Food as Reward,Yes
26,Food as Reward,Yes
27,Food as Reward,Yes
28,Food as Reward,Yes
29,Food as Reward,No
30,Food as Reward,No
31,Food as Reward,No
32,Food as Reward,No
33,Food as Reward,No
34,Food as Reward,No
35,Food as Reward,No
36,Food as Reward,No
37,Food as Reward,No
38,Food as Reward,No
39,Affection as Reward,Yes
40,Affection as Reward,Yes
41,Affection as Reward,Yes
42,Affection as Reward,Yes
43,Affection as Reward,Yes
44,Affection as Reward,Yes
45,Affection as Reward,Yes
46,Affection as Reward,Yes
47,Affection as Reward,Yes
48,Affection as Reward,Yes
49,Affection as Reward,Yes
50,Affection as Reward,Yes
51,Affection as Reward,Yes
52,Affection as Reward,Yes
53,Affection as Reward,Yes
54,Affection as Reward,Yes
55,Affection as Reward,Yes
56,Affection as Reward,Yes
57,Affection as Reward,Yes
58,Affection as Reward,Yes
59,Affection as Reward,Yes
60,Affection as Reward,Yes
61,Affection as Reward,Yes
62,Affection as Reward,Yes
63,Affection as Reward,Yes
64,Affection as Reward,Yes
65,Affection as Reward,Yes
66,Affection as Reward,Yes
67,Affection as Reward,Yes
68,Affection as Reward,Yes
69,Affection as Reward,Yes
70,Affection as Reward,Yes
71,Affection as Reward,Yes
72,Affection as Reward,Yes
73,Affection as Reward,Yes
74,Affection as Reward,Yes
75,Affection as Reward,Yes
76,Affection as Reward,Yes
77,Affection as Reward,Yes
78,Affection as Reward,Yes
79,Affection as Reward,Yes
80,Affection as Reward,Yes
81,Affection as Reward,Yes
82,Affection as Reward,Yes
83,Affection as Reward,Yes
84,Affection as Reward,Yes
85,Affection as Reward,Yes
86,Affection as Reward,Yes
87,Affection as Reward,No
88,Affection as Reward,No
89,Affection as Reward,No
90,Affection as Reward,No
91,Affection as Reward,No
92,Affection as Reward,No
93,Affection as Reward,No
94,Affection as Reward,No
95,Affection as Reward,No
96,Affection as Reward,No
97,Affection as Reward,No
98,Affection as Reward,No
99,Affection as Reward,No
100,Affection as Reward,No
101,Affection as Reward,No
102,Affection as Reward,No
103,Affection as Reward,No
104,Affection as Reward,No
105,Affection as Reward,No
106,Affection as Reward,No
107,Affection as Reward,No
108,Affection as Reward,No
109,Affection as Reward,No
110,Affection as Reward,No
111,Affection as Reward,No
112,Affection as Reward,No
113,Affection as Reward,No
114,Affection as Reward,No
115,Affection as Reward,No
116,Affection as Reward,No
117,Affection as Reward,No
118,Affection as Reward,No
119,Affection as Reward,No
120,Affection as Reward,No
121,Affection as Reward,No
122,Affection as Reward,No
123,Affection as Reward,No
124,Affection as Reward,No
125,Affection as Reward,No
126,Affection as Reward,No
127,Affection as Reward,No
128,Affection as Reward,No
129,Affection as Reward,No
130,Affection as Reward,No
131,Affection as Reward,No
132,Affection as Reward,No
133,Affection as Reward,No
134,Affection as Reward,No
135,Affection as Reward,No
136,Affection as Reward,No
137,Affection as Reward,No
138,Affection as Reward,No
139,Affection as Reward,No
140,Affection as Reward,No
141,Affection as Reward,No
142,Affection as Reward,No
143,Affection as Reward,No
144,Affection as Reward,No
145,Affection as Reward,No
146,Affection as Reward,No
147,Affection as Reward,No
148,Affection as Reward,No
149,Affection as Reward,No
150,Affection as Reward,No
151,Affection as Reward,No
152,Affection as Reward,No
153,Affection as Reward,No
154,Affection as Reward,No
155,Affection as Reward,No
156,Affection as Reward,No
157,Affection as Reward,No
158,Affection as Reward,No
159,Affection as Reward,No
160,Affection as Reward,No
161,Affection as Reward,No
162,Affection as Reward,No
163,Affection as Reward,No
164,Affection as Reward,No
165,Affection as Reward,No
166,Affection as Reward,No
167,Affection as Reward,No
168,Affection as Reward,No
169,Affection as Reward,No
170,Affection as Reward,No
171,Affection as Reward,No
172,Affection as Reward,No
173,Affection as Reward,No
174,Affection as Reward,No
175,Affection as Reward,No
176,Affection as Reward,No
177,Affection as Reward,No
178,Affection as Reward,No
179,Affection as Reward,No
180,Affection as Reward,No
181,Affection as Reward,No
182,Affection as Reward,No
183,Affection as Reward,No
184,Affection as Reward,No
185,Affection as Reward,No
186,Affection as Reward,No
187,Affection as Reward,No
188,Affection as Reward,No
189,Affection as Reward,No
190,Affection as Reward,No
191,Affection as Reward,No
192,Affection as Reward,No
193,Affection as Reward,No
194,Affection as Reward,No
195,Affection as Reward,No
196,Affection as Reward,No
197,Affection as Reward,No
198,Affection as Reward,No
199,Affection as Reward,No
200,Affection as Reward,No
