digit,oddEven
1,odd
4,even
1,odd
5,odd
9,odd
2,even
6,even
5,odd
3,odd
5,odd
8,even
9,odd
7,odd
9,odd
3,odd
2,even
3,odd
8,even
4,even
6,even
2,even
6,even
4,even
3,odd
3,odd
8,even
3,odd
2,even
7,odd
9,odd
5,odd
0,even
2,even
8,even
8,even
4,even
1,odd
9,odd
7,odd
1,odd
6,even
9,odd
3,odd
9,odd
9,odd
3,odd
7,odd
5,odd
1,odd
0,even
5,odd
8,even
2,even
0,even
9,odd
7,odd
4,even
9,odd
4,even
4,even
5,odd
9,odd
2,even
3,odd
0,even
7,odd
8,even
1,odd
6,even
4,even
0,even
6,even
2,even
8,even
6,even
2,even
0,even
8,even
9,odd
9,odd
8,even
6,even
2,even
8,even
0,even
3,odd
4,even
8,even
2,even
5,odd
3,odd
4,even
2,even
1,odd
1,odd
7,odd
0,even
6,even
7,odd
9,odd
