"Years","Months","Age","Pitch","Light","Weight","Classics","French","English","Mathematics","Residuals Pitch","Residuals Light","Residuals Weight","Residuals Classics","Residuals French","Residuals English","Residuals Mathematics"
10,9,10.75,50,10,4,16,19,10,7,35.4225492641556,-3.33624345223248,-7.80518832626589,2.9563482165129,5.77051633823903,-2.99002244948859,-5.8104265402843
12,4,12.3333333333333,3,10,6,5,6,6,5,-14.6884301987196,-3.38896857071589,-6.09823729940966,-1.70952856073834,-0.643188243119651,-1.49377442421219,-2.34004739336492
11,1,11.0833333333333,10,10,6,5,6,6,5,-5.23239378066018,-3.34734347717635,-5.86688284692775,-6.7101521576453,-5.84289515257338,-5.83291760206203,-6.65876777251185
10,11,10.9166666666667,60,10,9,22,23,22,22,45.0950777417477,-3.34179346470441,-2.83603558659682,9.62309802943377,10.4638105928328,9.58852997422466,9.76540284360189
13,7,13.5833333333333,4,12,5,1,1,1,2,-16.1444666167789,-1.43059366425542,-7.32959175189157,-0.708904963831383,-0.443481333665926,-2.15463124636235,-1.021327014218
12,6,12.5,2,10,10,4,2,2,1,-16.0159017211275,-3.39451858318783,-2.12908455974058,-2.04277874781742,-3.94989398852582,-4.91522200049888,-5.76421800947867
10,4,10.3333333333333,4,10,11,12,14,13,18,-9.75877192982455,-3.32236842105263,-0.7280701754386,-2.71052631578947,-0.962719298245613,-1.43640350877193,3.75
9,5,9.41666666666667,20,10,11,23,22,23,23,8.042321443419,-3.29184335245697,-0.558410243618531,4.62234971314542,3.22416230148832,5.38155816080485,5.58293838862558
12,0,12,11,10,12,8,8,15,15,-6.03348715390373,-3.37786854577201,-0.0365427787478145,-0.0430281865801986,-0.0297767523073146,6.34912072836119,6.50829383886256
10,2,10.1666666666667,11,12,11,3,5,4,4,-2.43130040741663,-1.31681840858069,-0.697222915107678,-12.3772761287104,-10.6560135528394,-11.0149559324852,-10.8258293838863
11,2,11.1666666666667,24,14,10,7,7,7,6,8.60387045813586,0.649881516587678,-1.88230647709321,-4.37677725118484,-4.49624802527647,-4.54364139020538,-5.37085308056873
10,1,10.0833333333333,5,18,7,20,15,18,16,-8.26756464621267,4.68595659765527,-4.68179928494222,4.28934896482914,-1.00266068013636,2.6957678556581,0.886255924170612
9,8,9.66666666666667,3,18,9,10,13,14,12,-9.44888584019287,4.69983162883512,-2.60468113411491,-7.37752556747319,-4.73589631662094,-2.75061320362519,-4.55331753554503
11,10,11.8333333333333,5,13,13,2,3,3,3,-11.7060156314958,-0.372318533300073,0.994304481583107,-6.70977799950112,-5.72307100690114,-6.22943169535212,-6.0675355450237
11,1,11.0833333333333,6,13,13,11,12,12,9,-9.23239378066018,-0.347343477176353,1.13311715307225,-0.710152157645298,0.157104847426622,0.167082397937972,-2.65876777251185
10,6,10.5,7,14,11,17,18,17,13,-7.08624345223247,0.672081566475429,-0.758917435769521,2.95622349713145,3.73057495634821,3.14214891494138,-0.674170616113749
10,8,10.6666666666667,15,19,10,21,20,21,19,0.586285025359617,5.66653155400349,-1.78976469610044,7.62297331005238,6.42386921094204,7.72070133865469,5.90165876777251
10,4,10.3333333333333,11,14,13,19,21,9,21,-2.75877192982455,0.677631578947367,1.2719298245614,4.28947368421053,6.03728070175439,-5.43640350877193,6.75
10,4,10.3333333333333,14,13,18,18,16,8,17,0.241228070175451,-0.322368421052633,6.2719298245614,3.28947368421053,1.03728070175439,-6.43640350877193,2.75
10,1,10.0833333333333,15,13,28,15,10,20,10,1.73243535378733,-0.314043402344726,16.3182007150578,-0.710651035170864,-6.00266068013636,4.6957678556581,-5.11374407582939
12,3,12.25,7,19,13,9,9,16,11,-10.5246944375156,5.61380643552008,0.917186330755803,1.95709653280119,2.01016462958343,8.21694936393116,3.37203791469194
10,7,10.5833333333333,4,16,16,14,17,19,20,-10.2499792134364,2.66930656023946,4.22565893406502,0.289598403591918,3.07722208364513,5.43142512679804,6.61374407582938
13,7,13.5833333333333,60,19,27,6,4,5,8,39.855533383221,5.56940633574458,14.6704082481084,4.29109503616862,2.55651866633407,1.84536875363765,4.978672985782
