V1,id,sex,ageyr,agemo,school,grade,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,1,1,13,1,Pasteur,7,3.3333333,7.75,0.375,2.3333333,5.75,1.2857143,3.3913043,5.75,6.3611111
2,2,2,13,7,Pasteur,7,5.3333333,5.25,2.125,1.6666667,3,1.2857143,3.7826087,6.25,7.9166667
3,3,2,13,1,Pasteur,7,4.5,5.25,1.875,1,1.75,0.42857143,3.2608696,3.9,4.4166667
4,4,1,13,2,Pasteur,7,5.3333333,7.75,3,2.6666667,4.5,2.4285714,3,5.3,4.8611111
5,5,2,12,2,Pasteur,7,4.8333333,4.75,0.875,2.6666667,4,2.5714286,3.6956522,6.3,5.9166667
6,6,2,14,1,Pasteur,7,5.3333333,5,2.25,1,3,0.85714286,4.3478261,6.65,7.5
7,7,1,12,1,Pasteur,7,2.8333333,6,1,3.3333333,6,2.8571429,4.6956522,6.2,4.8611111
8,8,2,12,2,Pasteur,7,5.6666667,6.25,1.875,3.6666667,4.25,1.2857143,3.3913043,5.15,3.6666667
9,9,2,13,0,Pasteur,7,4.5,5.75,1.5,2.6666667,5.75,2.7142857,4.5217391,4.65,7.3611111
10,11,2,12,5,Pasteur,7,3.5,5.25,0.75,2.6666667,5,2.5714286,4.1304348,4.55,4.3611111
11,12,1,12,2,Pasteur,7,3.6666667,5.75,2,2,3.5,1.5714286,3.7391304,5.7,4.3055556
12,13,1,12,11,Pasteur,7,5.8333333,6,2.875,2.6666667,4.5,2.7142857,3.6956522,5.15,4.1388889
13,14,2,12,7,Pasteur,7,5.6666667,4.5,4.125,2.6666667,4,2.2857143,5.8695652,5.2,5.8611111
14,15,2,12,8,Pasteur,7,6,5.5,1.75,4.6666667,4,1.5714286,5.1304348,4.7,4.4444444
15,16,1,12,6,Pasteur,7,5.8333333,5.75,3.625,5,5.5,3,4,4.35,5.8611111
16,17,2,12,1,Pasteur,7,4.6666667,4.75,2.375,2.6666667,4.25,0.71428571,4.0869565,3.8,5.1388889
17,18,2,14,11,Pasteur,7,4.3333333,4.75,1.5,2,4,1.2857143,3.6956522,6.65,5.25
18,19,1,13,5,Pasteur,7,5,6.75,2.25,2,2.5,1.7142857,4,5.25,5.4444444
19,20,2,12,8,Pasteur,7,5.6666667,5.25,4,4.3333333,5.25,3.7142857,3.9130435,4.85,5.75
20,21,2,12,3,Pasteur,7,6.3333333,8.75,3,3.6666667,3.75,2.5714286,3.4782609,5.35,4.9166667
21,22,1,14,10,Pasteur,7,5.8333333,8,2,1.6666667,2.5,0.57142857,2.6086957,4.6,5.3888889
22,23,1,12,9,Pasteur,7,6.6666667,8.5,4.125,2,3.25,2.1428571,4.4782609,5.45,7
23,24,1,12,11,Pasteur,7,5,6.25,1.875,3.3333333,5.75,3.1428571,3.4782609,4.6,5
24,25,2,12,8,Pasteur,7,3.8333333,5.5,1.625,2.6666667,3,1,5.826087,5.3,6.7777778
25,26,1,12,3,Pasteur,7,5.6666667,5.5,1.25,2.3333333,3.75,1.2857143,4.6956522,4.6,4.1388889
26,27,1,12,7,Pasteur,7,5.3333333,4,3.375,1.6666667,3.5,1.4285714,5.7391304,6.25,4.3333333
27,28,1,12,8,Pasteur,7,5.5,5.25,4.5,2.6666667,2.25,0.71428571,4.1304348,5.1,4.5277778
28,29,2,13,2,Pasteur,7,6,5,2.125,1.6666667,3,1.1428571,2.826087,5.55,4.4166667
29,30,2,12,5,Pasteur,7,4.6666667,6,4.25,2,3,2,5.1304348,5.85,8.6111111
30,31,2,12,2,Pasteur,7,5,4.5,0.75,2.6666667,3.25,1.8571429,4.6521739,4.85,5.4444444
31,33,2,12,7,Pasteur,7,3.5,5.75,1.375,2,3.5,1.8571429,4.826087,6.95,5.9722222
