"ID","Stratum","BookValue","AuditValue","Selected"
1,"Distribution center",402.94,362.65,1
2,"Distribution center",1954.69,1856.96,4
3,"Distribution center",319.99,319.99,1
4,"Distribution center",195.59,195.59,1
5,"Distribution center",304.98,NA,0
6,"Distribution center",599.22,599.22,1
7,"Distribution center",960.11,NA,0
8,"Distribution center",96.89,96.89,1
9,"Distribution center",1208.46,NA,0
10,"Distribution center",339.07,322.11,2
11,"Distribution center",474.54,474.54,2
12,"Distribution center",3691.83,NA,0
13,"Distribution center",106.55,106.55,1
14,"Distribution center",227.76,NA,0
15,"Distribution center",424.35,424.35,1
16,"Distribution center",515.57,464.01,1
17,"Distribution center",56.94,NA,0
18,"Distribution center",86.67,NA,0
19,"Distribution center",90,NA,0
20,"Distribution center",90,NA,0
21,"Distribution center",95,NA,0
22,"Distribution center",106.25,NA,0
23,"Distribution center",109.32,NA,0
24,"Distribution center",128.43,NA,0
25,"Distribution center",139.5,NA,0
26,"Distribution center",143.21,NA,0
27,"Distribution center",170,170,1
28,"Distribution center",174.6,NA,0
29,"Distribution center",177.69,NA,0
30,"Distribution center",179.56,NA,0
31,"Distribution center",180,NA,0
32,"Distribution center",180,NA,0
33,"Distribution center",225,NA,0
34,"Distribution center",225,NA,0
35,"Distribution center",270,NA,0
36,"Distribution center",348.28,NA,0
37,"Distribution center",360,NA,0
38,"Distribution center",360,NA,0
39,"Distribution center",360,NA,0
40,"Distribution center",360,NA,0
41,"Distribution center",363,NA,0
42,"Distribution center",423.52,NA,0
43,"Distribution center",445,445,1
44,"Distribution center",448.91,NA,0
45,"Distribution center",450,NA,0
46,"Distribution center",467.5,NA,0
47,"Distribution center",495,NA,0
48,"Distribution center",540,NA,0
49,"Distribution center",540,NA,0
50,"Distribution center",605.4,NA,0
51,"Distribution center",630,630,1
52,"Distribution center",720,NA,0
53,"Distribution center",720,NA,0
54,"Distribution center",765,NA,0
55,"Distribution center",810,NA,0
56,"Distribution center",880.01,NA,0
57,"Distribution center",990,990,1
58,"Distribution center",1035,NA,0
59,"Distribution center",1080,NA,0
60,"Distribution center",1080,NA,0
61,"Distribution center",1350,1350,1
62,"Distribution center",1440,NA,0
63,"Distribution center",1440,NA,0
64,"Distribution center",1520,1520,1
65,"Distribution center",1665,NA,0
66,"Distribution center",1665,1665,1
67,"Distribution center",1800,NA,0
68,"Distribution center",1800,NA,0
69,"Distribution center",2115,2115,1
70,"Distribution center",2475,NA,0
71,"Distribution center",3040,3040,1
72,"Distribution center",3105,3105,1
73,"Distribution center",3375,3375,1
74,"Distribution center",4560,4560,1
75,"Distribution center",8.51,NA,0
76,"Distribution center",248.15,NA,0
77,"Distribution center",304,NA,0
78,"Distribution center",320,NA,0
79,"Distribution center",348.94,NA,0
80,"Distribution center",480,NA,0
81,"Distribution center",520,NA,0
82,"Distribution center",540,NA,0
83,"Distribution center",625,625,1
84,"Distribution center",750,NA,0
85,"Distribution center",900,NA,0
86,"Distribution center",1004,NA,0
87,"Distribution center",1160,NA,0
88,"Distribution center",1330,1330,1
89,"Distribution center",1480,NA,0
90,"Distribution center",1496,NA,0
91,"Distribution center",1499.5,1499.5,1
92,"Distribution center",1500,NA,0
93,"Distribution center",1500,NA,0
94,"Distribution center",1512,1512,1
95,"Distribution center",1692,NA,0
96,"Distribution center",1767.5,1767.5,1
97,"Distribution center",1940,NA,0
98,"Distribution center",2348,2348,1
99,"Distribution center",2416,NA,0
100,"Distribution center",2476.62,2476.62,1
101,"Distribution center",2573.5,NA,0
102,"Distribution center",2710,2710,1
103,"Distribution center",2752,1392,1
104,"Distribution center",2977.5,NA,0
105,"Distribution center",3116,3116,1
106,"Distribution center",3452,3452,1
107,"Distribution center",4095.3,4095.3,1
108,"Distribution center",4100,4100,1
109,"Distribution center",4144,4144,1
110,"Distribution center",4192,4192,1
111,"Distribution center",4964,4964,1
112,"Distribution center",4995,4995,1
113,"Distribution center",5000,5000,1
114,"Distribution center",5035,5035,1
115,"Distribution center",5180,5180,2
116,"Distribution center",5955,5955,1
117,"Distribution center",5955,5955,1
118,"Distribution center",10656,10656,3
119,"Distribution center",14152.5,14152.5,3
120,"Distribution center",33966,33966,8
121,"Distribution center",34546,34546,8
