id,group,g,drp
1,Treat,0,24
2,Treat,0,56
3,Treat,0,43
4,Treat,0,59
5,Treat,0,58
6,Treat,0,52
7,Treat,0,71
8,Treat,0,62
9,Treat,0,43
10,Treat,0,54
11,Treat,0,49
12,Treat,0,57
13,Treat,0,61
14,Treat,0,33
15,Treat,0,44
16,Treat,0,46
17,Treat,0,67
18,Treat,0,43
19,Treat,0,49
20,Treat,0,57
21,Treat,0,53
22,Control,1,42
23,Control,1,46
24,Control,1,43
25,Control,1,10
26,Control,1,55
27,Control,1,17
28,Control,1,26
29,Control,1,60
30,Control,1,62
31,Control,1,53
32,Control,1,37
33,Control,1,42
34,Control,1,33
35,Control,1,37
36,Control,1,41
37,Control,1,42
38,Control,1,19
39,Control,1,55
40,Control,1,54
41,Control,1,28
42,Control,1,20
43,Control,1,48
44,Control,1,85
