"Physical Activity","Fruit Consumption"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Low","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Moderate","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Vigorous","Low"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Low","Medium"
