Part,Type,Origin,Raw Data,Chapter,Analysis,Description for the JASP files,JASP file commented,Variable types correct,Analysis2
Descriptives,Example,Data set included in R.,Yes,Sleep,Descriptives,"The number of additional hours that each of ten patients slept after having been administered two 'soporific drugs' (i.e., sleeping pills).",Yes,Yes,descriptive statistics
Descriptives,Example,Fictional data from Andy Field.,Yes,Fear of Statistics,Reliability Analysis,Responses of 2571 students on an SPSS Anxiety Questionnaire.,Yes,Yes,a reliability analysis
T-tests,Example,"Data from Moore, McCabe, & Craig.",Yes,Weight Gain,One Sample,Weight of 16 participants before and after an eight-week period of excessive calorie intake.,Yes,Yes,a one sample t-test
T-tests,Example,"Data from Moore, McCabe, & Craig.",Yes,Moon and Aggression,Paired Samples,The number of disruptive behaviors by dementia patients during two different phases of the lunar cycle.,Yes,Yes,a paired samples t-test
T-tests,Example,"Data from Moore, McCabe, & Craig.",Yes,Directed Reading Activities,Independent Samples,Reading performance of two groups of pupils - one control group and one group that was given Directed Reading Activities.,Yes,Yes,an independent samples t-test
T-tests,Example,Data reported in Frisby & Clatworthy (1975).,Yes,Stereograms,Independent Samples,"The time it took two groups of participants to see the objects hidden in a stereogram - one group received advance information about the scene, the other group did not.",Yes,Yes,a Bayesian independent samples t-test
T-tests,Example,Data reported in Wagenmakers et al. (2015).,Yes,Kitchen Rolls,Independent Samples,"Openness to Experience scores for two groups of students - while filling out the personality questionnaire, both groups rotated a kitchen roll with their hands (one group clockwise, the other group counterclockwise).",Yes,Yes,a Bayesian and frequentist versions of independent samples t-test
T-tests,Example,Subset of the data reported in Matzke et al. (2015).,Yes,Eye Movements,Independent Samples,"The number of correctly recalled words by two groups of participants - during the retention interval, one group was instructed to fixate on a centrally presented dot",,,a Bayesian independent samples t-test
T-tests,Example,Fictional data from Andy Field.,Yes,Invisibility Cloak,Independent Samples,"The number of mischievous acts committed by two groups of people, those with and those without an invisibility cloak.",Yes,Yes,an independent samples t-test
ANOVA,Example,Data from McClave & Dietrich (1991).,Yes,Pain Thresholds,One Way ANOVA,Pain threshold for people with different hair color. ,Yes,Yes,a one-way ANOVA
ANOVA,Example,"Data from Moore, McCabe, & Craig.",Yes,Facebook Friends,One Way ANOVA,"Preference ratings for Facebook profiles - five groups judge the same profiles, except for the aspect that was manipulated: the number of friends for that profile. ",Yes,Yes,a one-way ANOVA
ANOVA,Example,"Data from Moore, McCabe, & Craig.",Yes,Response to Eye Color,One Way ANOVA,Post-advertisement attitudes towards a brand expressed by four different groups - each group saw the same advertisement except for the aspect that was manipulated: the eye-color of the model. ,Yes,Yes,a one-way ANOVA
ANOVA,Example,Subset of the data reported in Balzarini et al. (2016).,Yes,Erotic Pictures and Love,Factorial ANOVA,Men and women's feelings towards their partners after watching either erotic or artistic pictures.,Yes,Yes,a factorial 2 x 2 ANOVA
ANOVA,Example,"Data from Moore, McCabe, & Craig.",Yes,Heart Rate,Factorial ANOVA,Heart rate of male and female runners and generally sedentary participants following 6 minutes of exercise.,Yes,Yes,a 2 x 2 between subjects ANOVA
ANOVA,Example,Fictional data from Andy Field.,Yes,Beer Goggles,Factorial ANOVA,Median attractiveness ratings of 50 attractive or unattractive faces after consuming different amounts of alcohol.,Yes,Yes,an ANOVA
ANOVA,Example,Data set included in R.,Yes,Singers,Factorial ANOVA,"""Heights in inches of the singers in the New York Choral Society in 1979. The data are grouped according to voice part. The vocal range for each voice part increases in pitch according to the following order: Bass 2, Bass 1, Tenor 2, Tenor 1, Alto 2, Alto 1, Soprano 2, Soprano 1.""",Yes,Yes,a Bayesian between subjects ANOVA
ANOVA,Example,Data set included in R.,Yes,Tooth Growth,Factorial ANOVA,"""The response is the length of odontoblasts (cells responsible for tooth growth) in 60 guinea pigs. Each animal received one of three dose levels of vitamin C (0.5, 1, and 2 mg/day) by one of two delivery methods, orange juice or ascorbic acid (a form of vitamin C and coded as VC).""",Yes,Yes,a 2 x 2 ANOVA
ANOVA,Example,Fictional data from Andy Field.,Yes,Bush Tucker Food,One Way Repeated Measures,The number of seconds before celebrities retch while eating disgusting food - each celebrity consumed four different kinds of disgusting items.,Yes,Yes,a repeated measures ANOVA
ANOVA,Example,Fictional data from Andy Field.,Yes,Alcohol Attitudes,Factorial Repeated Measures,"Attitudes towards water, wine, and beer after watching positive, neutral, or negative imagery of that drink - each participant features in each cell of the 3x3 design.",Yes,Yes,a repeated measures ANOVA
ANOVA,Example,"Subset of the data reported in Ryan, Wilde, & Crist (2013).",Yes,Bugs,Factorial Repeated Measures,"The extent to which people want to kill arthropods that vary in freighteningness (low, high) and disgustingness (low, high) - each participant rates their attitude for all arthropods. ",Yes,Yes,a mixed design ANOVA
ANOVA,Example,Fictional data from Andy Field.,Yes,Looks or Personality,Mixed Design ANOVA,"Preference scores of ten men and ten women for nine speed-dating partners who varied in attractiveness (high, average, low) and charisma (high, some, none).",Yes,Yes,a mixed design ANOVA
