"Package";"Version";"Author"
"BAS";"1.5.3";"Merlise Clyde [aut, cre, cph] (<https://orcid.org/-5469>);
  Michael Littman [ctb];
  Quanli Wang [ctb];
  Joyee Ghosh [ctb];
  Yingbo Li [ctb]"
"BDgraph";"2.55";"Reza Mohammadi [aut, cre] <https://orcid.org/0000-0001-9538-0648>;
		Ernst Wit [aut];
        Adrian Dobra [ctb]"
"BMS";"0.3.4";"Martin Feldkircher and Stefan Zeugner"
"BSDA";"1.2.0";"Alan T. Arnholt [aut, cre];
  Ben Evans [aut]"
"Bain";"0.1.3";"Xin Gu; Herbert Hoijtink; Joris Mulder; Caspar van Lissa"
"BayesFactor";"0.9.12-4.2";"Richard D. Morey [aut, cre, cph];
  Jeffrey N. Rouder [aut];
  Tahira Jamil [ctb, cph];
  Simon Urbanek [ctb, cph];
  Karl Forner [ctb, cph];
  Alexander Ly [ctb, cph]"
"Epi";"2.34";"Bendix Carstensen [aut, cre];
  Martyn Plummer [aut];
  Esa Laara [ctb];
  Michael Hills [ctb]"
"Formula";"1.2-3";"Achim Zeileis [aut, cre] (<https://orcid.org/0000-0003-0918-3766>);
  Yves Croissant [aut]"
"GPArotation";"2014.11-1";"Coen Bernaards and Robert Jennrich"
"GeneNet";"1.2.13";"Juliane Schaefer; Rainer Opgen-Rhein; and
        Korbinian Strimmer."
"Hmisc";"4.2-0";"Frank E Harrell Jr <f.harrell@vanderbilt.edu>; with
  contributions from Charles Dupont and many others."
"IsingFit";"0.3.1";"Claudia van Borkulo; Sacha Epskamp; with contributions from Alexander Robitzsch"
"IsingSampler";"0.2";"Sacha Epskamp"
"KernSmooth";"2.23-15";"Matt Wand [aut];
  Brian Ripley [trl; cre, ctb] (R port and updates)"
"MASS";"7.3-51.1";"Brian Ripley [aut, cre, cph];
  Bill Venables [ctb];
  Douglas M. Bates [ctb];
  Kurt Hornik [trl] (partial port ca 1998);
  Albrecht Gebhardt [trl] (partial port ca 1998);
  David Firth [ctb]"
